FIELDID,Latitude,Longitude,F22 SQI,SP22 SQI,F21 SQI,SP21 SQI,F20 SQI,SP20 SQI,F19 SQI,SP19 SQI,F18 SQI,SP18 SQI,F17 SQI,SP17 SQI,F16 SQI,SP16 SQI,F15 SQI,SP15 SQI,F14 SQI,SP14 SQI,F13 SQI,SP13 SQI,F12 SQI,SP12 SQI,F11 SQI,SP11 SQI,F10 SQI,SP10 SQI,F09 SQI,SP09 SQI,F08 SQI,SP08 SQI,F07 SQI,SP07 SQI,F06 SQI,SP06 SQI,F05 SQI,SP05 SQI,F04 SQI,SP04 SQI,F03 SQI,SP03 SQI,F02 SQI,SP02 SQI,F01 SQI,SP01 SQI,
Bish1,42.482378,-83.460553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,17,,21,,22,
Bish2,42.47131,-83.45151,38,,21,28,20,,23,,,,20,26,,32,20,,,15,24,21,17,21,14,18,,25,25,16,38,24,26,,,,,,,,,,,,,,
Evan1,42.504517,-83.2333884,,,,,,,,,,,,,,,,15,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan2,42.472955,-83.247905,20,16,14,12,21,,16,18,,,13,,16,19,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan3,42.459278,-83.268639,,,2,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fel1,42.35729,-83.53988,28,,32,,,,21,,15,,,27,26,28,,,37,37,23,33,30,26,,22,31,,,,33,,,22,34,36,,,22,38,26,24,26,34,20,33,
Fel2,42.31932,-83.5246,11,,,39,,,,,12,26,,32,36,37,,,18,20,39,23,,,25,33,25,40,14,,,26,32,31,23,23,,27,27,23,37,22,20,23,,,
Fel4,42.31346,-83.46471,25,,,,,,,,,28,18,,,,33,33,10,,25,,24,20,25,18,,25,,,32,25,41,24,,26,33,12,,,,,,,,,
Fel5,42.335263,-83.539831,17,,,,,,22,,,,,41,,,,41,35,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Fel6,42.328188,-83.532192,22,,29,,,,,,,40,,22,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fowl1,42.30423,-83.60516,34,39,23,20,28,,27,33,15,31,,,,,22,42,38,34,18,43,41,,,37,39,38,19,,,,32,49,26,45,27,23,23,29,39,35,33,23,32,30,
Fowl2,42.28226,-83.50515,20,,,24,,,,,19,25,,,,22,22,26,26,21,24,28,28,,,,26,41,,,21,33,26,46,27,28,,20,,,,,,,,,
Frank1,42.53024,-83.30585,,,,,,,,,,13,,,,24,,,,16,,,18,33,28,,,24,,17,17,,14,39,,,,17,24,18,24,25,20,,,28,
Frank2,42.529325,-83.325381,,,20,,20,,,13,,13,,,12,15,9,,30,27,,,34,24,28,,15,25,,28,,,,,,,,,,,,,,,,,
Ing1,42.46293,-83.44552,27,20,31,24,24,,28,,,,21,31,21,30,5,,,22,32,18,36,,,25,28,,29,,,24,36,26,,18,31,18,,36,42,,,,,,
John1,42.3897,-83.58194,34,46,36,44,41,,51,42,,,,43,,,30,52,,,49,48,,,39,,,42,47,,,,,44,39,55,35,46,24,37,15,42,41,48,27,38,
John2,42.3938201,-83.5342002,38,40,33,,42,,48,,,,,33,,60,37,46,,,47,57,,58,40,45,,,46,,,,47,49,40,53,37,42,33,44,43,38,24,32,18,39,
John3,42.40844,-83.51693,39,41,34,36,31,,,,44,,,31,34,27,,,,49,31,52,,,30,,,,51,,,39,51,,31,37,30,33,26,30,26,35,35,43,9,32,
John5,42.4224,-83.49289,,,37,,36,,,,29,40,41,,,,,34,40,38,,,39,28,21,,,,,46,,,39,,29,21,40,26,25,23,30,26,29,17,,26,
John6,42.42546,-83.48138,,,,,,,,,37,41,,,39,44,,26,42,45,28,,,35,47,,,43,45,,42,15,,,,20,32,10,,,,,,,,,
John7,42.3985716,-83.5279588,25,,40,,28,,,,39,,33,22,,,48,45,34,30,,39,31,,,35,,,37,38,31,46,31,36,,,,,,,,,,,,,
John8,42.42148,-83.54396,,46,50,52,,,,,35,,,46,,,,36,52,,,48,41,47,51,54,53,62,,,,,,,,,,,,,,,,,,,
Low12,42.2838277,-83.474042,,,,,,,,,,22,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low2,42.30724,-83.53793,33,17,26,42,25,,25,,26,34,,27,15,,,32,23,22,28,24,,,30,28,,,,,34,44,,30,41,37,38,24,25,30,,18,,,,,
Low3,42.3227,-83.565967,,,,,,,,,,,,,15,43,,33,41,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,
Low4,42.2866039,-83.4756605,,,,,,,,,20,19,12,,,,,21,22,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,
Low5,42.282389,-83.437141,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low8,42.285374,-83.388726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR-1,42.280425,-83.42027,30,,,,,,,27,31,29,,,37,,27,30,34,39,25,35,,,,,,,26,29,36,26,20,34,30,25,18,20,,,,,,,,,
LR-10,42.298506,-83.305839,,,,,,,,22,13,22,17,,,30,33,28,23,25,19,26,22,28,32,24,31,,,,,,,,,,,,,,,,,,,,
LR-11,42.309888,-83.24854,,,,,,,,,,,,,,19,,,,,,,25,,21,,18,,,,,,,,,,,,,,,,,,,,
LR-11A,42.3125679,-83.2415233,,,,,,,,,19,20,20,14,28,23,,26,29,18,,12,,22,,25,,,,,,,,,,,,,,,,,,,,,
LR-12,42.282317,-83.466103,33,,,43,,,39,26,25,15,29,,,30,30,36,30,34,40,35,37,37,,,,,,,,,,,,,,,,,,,,,,,
LR-2,42.281962,-83.503009,,,,,,,,,,,,,,29,25,35,31,24,21,,27,,,,,,,,,43,32,18,40,37,24,,,,,,,,,,
LR-3,42.284848,-83.381855,23,,,,,,,,22,,28,,,,24,,34,19,23,28,26,16,23,28,22,,,,,36,35,20,30,22,35,26,,,,,,,,,
LR-4,42.288775,-83.3486,,,,,,,,,,,23,26,,,,,,,,,,,,,,,,,,26,25,18,25,15,24,25,,,,,,,,,
LR-5,42.300561,-83.4374797,,,,,,,,,,,,,,20,21,18,,,24,,,,,15,,27,,36,25,27,31,39,40,,,,,,,,,,,,
LR-6,42.285,-83.383888,,,,,,,,,,17,24,24,,38,25,32,25,22,25,23,21,26,18,19,,,24,36,24,26,20,28,,,,,,,,,,,,,
LR-7,42.2484,-83.4248,,,,,,,,,,,,34,31,31,,,,,,,,,31,30,,35,30,33,25,38,40,,,,,,,,,,,,,,
LR-8,42.295976,-83.541846,32,,,,,,,,35,44,36,37,,26,,,25,36,25,,,,43,36,23,40,30,31,38,,,,,,,,,,,,,,,,
LR-9,42.3370903,-83.5085406,5,,,,,,,,,,,30,,,,,,,,,,33,,,31,53,49,34,44,,,,,,,,,,,,,,,,
Bell1,42.42924,-83.39666,15,22,27,27,13,,21,,,23,26,24,,9,22,,22,15,,,22,27,,24,14,28,,27,21,19,,,18,26,21,,21,21,27,18,,,,,
Bell2,42.4151185,-83.429007,19,13,32,30,19,,10,,17,20,18,21,24,18,18,30,30,20,19,34,30,,24,,35,34,36,30,28,,18,,29,,24,,,27,31,,,,,,
Bell3,42.41015,-83.39285,18,11,33,29,26,,31,,,21,26,,,17,19,,11,33,,30,20,,,,16,32,,,12,14,34,,,16,19,,27,24,,,,,,,
Main1,42.60991,-83.17984,17,32,33,36,22,,,,,,,,33,30,,,28,,,26,,29,15,26,,,,,25,19,23,,20,40,,17,,30,,28,,20,,,
Main10,42.312949,-83.232347,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
Main11,42.554445,-83.226312,,,,,,,,,,,,32,,27,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main3,42.5487974,-83.2177051,,,,,,,,,26,,,30,25,,,30,,,35,31,,31,38,,,37,37,27,27,30,36,,,,,,,,,24,,28,,,
Main4,42.5424121,-83.2251341,,,,,,,,,15,,,,32,,,23,,23,,,39,34,,,38,34,,,36,,,30,36,28,30,,37,23,43,25,46,23,21,24,
Main4.5,42.53718,-83.22861,,,,,,,43,,,34,39,,,,29,,,19,24,,,18,27,,,33,,,31,,24,27,49,32,37,20,,,,,,,,,
Main5,42.52219,-83.24692,34,40,35,29,22,,30,29,,20,23,,,,24,,,24,31,30,,,22,33,39,,,26,,,22,,,23,33,21,37,20,,,,,,,
Main6,42.47882,-83.284548,32,26,,18,28,,31,,,20,29,,31,30,30,,,18,31,28,40,40,36,29,36,,35,,,18,,19,27,17,,,35,25,39,10,38,,,21,
Main7,42.472849,-83.289147,,,,,,,,,,,32,,,,,32,30,29,29,44,19,32,14,24,27,,,,,,,,,,,,,,,,,,,,
Main8,42.29352,-83.14873,,,,,,,,,31,,,,16,,16,20,,24,21,22,23,23,26,21,26,,,,,,,,,,,,,,,,,,,,
Mid1,42.42177,-83.47546,,,,33,,,,,,,,,,,,19,38,,,,37,41,,,,,38,,25,20,28,35,,19,,27,,19,,,,,,,
Mid3,42.36656,-83.41015,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid5,42.339356,-83.264421,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid6,42.346715,-83.280264,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min1,42.51274,-83.38905,,,,,16,,20,,,14,21,33,,29,20,,,,,20,27,,,26,,,,,42,,,28,25,45,,22,29,46,27,32,,,,,
Min2,42.493065,-83.37734,,,,,,,,,,13,,,,,14,30,,16,,,23,36,,34,20,23,23,38,,,,,,,,,,,,,,,,,
Min3,42.500565,-83.37127,,,,,,,15,18,,,28,,,23,,18,,25,27,,,14,,,15,25,23,32,,,,,,,,,,,,,,,,,
Min4,42.526938,-83.421444,,15,26,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN-1,42.438056,-83.274722,,,,,,,,,,,,,,,,,,30,38,25,33,33,28,,31,29,31,26,44,,,,,,,,,,,,,,,,
MN-2,42.399722,-83.271389,,,,,,,,,,,,28,38,,,25,,22,26,24,27,27,24,,28,19,29,26,32,,,,,,,,,,,,,,,,
MN-3,42.290906,-83.142919,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,
MN-4,42.3378683,-83.2496084,,,,,,,,,,,,,,,,,20,24,27,24,28,22,28,32,28,,,,,,,,,,,,,,,,,,,,
MN-5,42.443614,-83.284906,,,,,,,,39,41,42,,41,41,36,42,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN-6,42.431922,-83.271534,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN-7,42.348736,-83.24721,28,,,,,,,,25,,23,24,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR-1,42.42487,-83.47712,,,,,,,,,,,,,37,39,,,,43,36,,38,,,,,,39,42,44,49,51,42,37,32,37,17,29,,,,,,,,
MR-10,42.347097,-83.27895,,,,,,,,,,,,,,,,23,,,,,,,,,,23,,,,,28,23,19,6,18,24,17,,,,,,,,
MR-11,42.34516,-83.3629,31,,,,,,,,,,,21,,,27,,,,,,,,,,,,,16,28,25,16,4,24,8,23,,,,,,,,,,
MR-12,42.33975,-83.34093,,,,,,,,,,,,,,,,,,,,,,,27,,,,,21,18,22,27,12,20,5,22,,,,,,,,,,
MR-13,42.34432,-83.26865,,,,,,,,24,,27,24,,28,,,19,23,17,19,19,23,16,23,,21,,,,18,21,21,29,21,21,,29,,,,,,,,,
MR-14,42.3601432,-83.4763746,22,,,,,,,,21,,25,,,,,,,,,,,,,,,39,33,27,31,27,37,34,,,,,,,,,,,,,
MR-15,42.3306,-83.2483,,,,,,,,,,,22,,,,,31,,,,,,,22,,,29,23,24,22,19,34,,,,,15,,,,,,,,,
MR-16,42.3519,-83.375,,,,,,,,,23,,,,,28,,,,19,,,,,,,,20,25,25,29,21,24,,,,,,,,,,,,,,
MR-17,42.370466,-83.437574,,,,,,,,,,,,44,,,32,,,,,,,,,,41,46,46,41,46,44,,,,,,,,,,,,,,,
MR-18,42.390248,-83.466365,,,,41,,,,45,,,,,,,,,,,,,,,33,38,29,31,39,44,33,44,,,,,,,,,,,,,,,
MR-19,42.351831,-83.462729,,,,,,,,,,,,,,,,,,,22,,31,30,,,25,25,26,11,30,14,,,,,,,,,,,,,,,
MR-2,42.408,-83.47076,,21,,40,,,,,,,,46,,,,,,,,,,,,,,,45,36,37,49,42,33,33,34,31,24,42,,,,,,,,
MR-20,42.411952,-83.471703,,,40,42,,,,,,,45,45,48,52,,,,40,39,48,44,38,41,52,43,48,40,49,51,,,,,,,,,,,,,,,,
MR-21,42.345241,-83.398143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,
MR-22,42.43033,-83.544423,30,38,35,35,35,41,37,34,,37,,32,34,41,,46,34,37,,46,,45,33,41,21,43,,,,,,,,,,,,,,,,,,,
MR-23,42.432475,-83.520006,,25,,,,,31,,,19,,17,,27,33,42,31,39,38,41,23,30,26,32,34,,,,,,,,,,,,,,,,,,,,
MR-24,42.3640761,-83.4643914,21,,,,,,,,16,,18,,,,28,,29,,36,31,36,18,26,36,,,,,,,,,,,,,,,,,,,,,
MR-25,42.43058,-83.5135,28,,,,,,28,,26,38,,34,,46,31,51,32,35,26,49,25,43,,,,,,,,,,,,,,,,,,,,,,,
MR-26,42.434306,-83.550725,,,,31,32,,,,,30,,48,37,34,,42,13,31,33,48,,,,,,,,,,,,,,,,,,,,,,,,,
MR-27,42.41672,-83.531253,,26,,30,,,,,30,46,32,48,44,52,41,51,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR-2a,42.4089,-83.4704,,,35,,,,,,46,43,,48,,,,,,,,40,,37,43,44,,38,35,41,37,48,34,,,,,,,,,,,,,,
MR-3,42.37402,-83.45532,,,47,,,,44,,,,,,43,37,,,,42,,,40,45,,,,,,,,,44,39,24,32,32,32,41,,,,,,,,
MR-4,42.36445,-83.40406,34,,,,,,26,,28,22,28,24,28,,37,21,,,,,,,,,,37,,,,,34,20,20,41,18,33,19,,,,,,,,
MR-5,42.34447,-83.36118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,20,5,17,19,13,,,,,,,,
MR-6,42.34132,-83.33765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,14,22,4,24,11,18,,,,,,,,
MR-7,42.34286,-83.32853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,24,27,8,24,17,17,,,,,,,,
MR-8,42.34893,-83.31455,,,,,,,,,,,,,15,23,,,,21,,,,,,,22,27,,,,,18,17,20,5,26,19,19,,,,,,,,
MR-9,42.34732,-83.29135,,,,,,,,,,21,,,,30,,,29,,,,,35,,,,,,,,,,29,13,8,15,17,19,,,,,,,,
Mur2,42.59375,-83.25174,,,23,,,,,,20,,,,16,,,34,,,,27,,,,,29,33,26,32,25,23,28,25,,,,,,,,,,,,,
Nott,42.51149,-83.26463,16,20,20,22,27,,,,26,17,,,27,,,22,,,,22,,,,24,22,,,26,32,29,27,,,,28,21,34,31,,,,,,,
Nton,42.37312,-83.47572,36,25,42,24,30,,,,,,,,,19,17,,,20,38,,,25,26,16,,,,21,27,23,26,,,,,14,,12,,,,,,,
Peb1,42.50133,-83.32912,,,,,,,,,,,24,30,,12,25,27,38,26,38,28,28,24,37,36,32,,,31,,22,38,24,48,,,28,40,26,37,12,47,31,29,36,
Peb2,42.51521,-83.34402,31,29,19,,,,,,24,,28,,25,,,,,,23,23,26,24,24,30,,,24,23,29,37,18,,,,,26,,,,,,,,,
Peb3,42.500849,-83.324474,31,36,,,22,,36,,24,,,26,20,14,20,28,30,21,27,35,30,37,34,32,,,,,,,,,,,,,,,,,,,,,
See2,42.48927,-83.40099,,,,,,,18,,,31,19,,20,21,,,24,26,,26,25,,29,33,20,25,35,,,,,,,,,,13,17,36,16,,,,,
See3,42.51073,-83.4304,30,19,,,22,,18,,,26,18,,15,25,,,24,28,,20,24,,27,20,23,33,16,18,,,,,,,,,,,,,,,,,
See4,42.516904,-83.436534,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprag,42.6159714,-83.1920726,28,42,28,32,23,,,,,31,,33,53,42,,,44,,,34,28,,,,36,42,49,54,33,32,46,,34,,,28,,,,,,,,,
Tar1,42.447798,-83.386233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,22,23,30,33,29,30,,,,
Tar2,42.441084,-83.38423,,,,,,,,,21,,28,28,,14,27,14,22,,,31,,,,24,,,27,,,,39,26,23,29,34,,39,30,29,,21,16,,,
Ton1,42.36701,-83.49895,32,40,42,44,41,,36,35,36,34,43,47,,38,51,44,51,40,46,48,44,57,55,59,45,,,,39,46,,51,37,25,33,28,31,33,49,,,,,,
