"SampID","Taxon","AbundanceCat","AbundanceCount"
"1060","Elmidae","rare",""
"1060","Hydropsychidae","rare",""
"1060","Aeshnidae","rare",""
"1060","Calopterygidae","common",""
"1060","Coenagrionidae","common",""
"1060","Chironomidae","common",""
"1060","Simuliidae","rare",""
"1060","Decapoda","common",""
"1060","Isopoda","rare",""
"1060","Amphipoda","common",""
"1060","Oligochaeta","rare",""
"1060","Hirudinea","rare",""
"1061","Heptageniidae","rare",""
"1061","Nepidae","rare",""
"1061","Hydropsychidae","common",""
"1061","Calopterygidae","common",""
"1061","Coenagrionidae","common",""
"1061","Chironomidae","common",""
"1061","Simuliidae","rare",""
"1061","Decapoda","common",""
"1061","Isopoda","rare",""
"1061","Amphipoda","common",""
"1061","Oligochaeta","rare",""
"1062","Heptageniidae","rare",""
"1062","Haliplidae","rare",""
"1062","Calopterygidae","common",""
"1062","Coenagrionidae","common",""
"1062","Chironomidae","common",""
"1062","Decapoda","common",""
"1062","Isopoda","common",""
"1062","Amphipoda","common",""
"1063","Baetidae","rare",""
"1063","Heptageniidae","rare",""
"1063","Elmidae","rare",""
"1063","Hydropsychidae","common",""
"1063","Philopotamidae","common",""
"1063","Chironomidae","common",""
"1063","Simuliidae","common",""
"1063","Physidae","rare",""
"1063","Sphaeriidae","common",""
"1063","Decapoda","rare",""
"1063","Isopoda","rare",""
"1063","Amphipoda","rare",""
"1064","Baetidae","common",""
"1064","Heptageniidae","common",""
"1064","Elmidae","common",""
"1064","Hydropsychidae","rare",""
"1064","Philopotamidae","rare",""
"1064","Calopterygidae","common",""
"1064","Coenagrionidae","common",""
"1064","Chironomidae","common",""
"1064","Simuliidae","common",""
"1064","Tipulidae","rare",""
"1064","Prosobranchia","rare",""
"1064","Physidae","rare",""
"1064","Sphaeriidae","common",""
"1064","Decapoda","rare",""
"1064","Amphipoda","common",""
"1064","Oligochaeta","rare",""
"1064","Hirudinea","rare",""
"1065","Heptageniidae","rare",""
"1065","Haliplidae","rare",""
"1065","Hydropsychidae","common",""
"1065","Aeshnidae","rare",""
"1065","Calopterygidae","common",""
"1065","Coenagrionidae","common",""
"1065","Chironomidae","common",""
"1065","Simuliidae","rare",""
"1065","Prosobranchia","rare",""
"1065","Decapoda","rare",""
"1065","Amphipoda","rare",""
"1065","Oligochaeta","rare",""
"1065","Hirudinea","rare",""
"1066","Heptageniidae","common",""
"1066","Hydropsychidae","rare",""
"1066","Calopterygidae","common",""
"1066","Coenagrionidae","common",""
"1066","Chironomidae","common",""
"1066","Decapoda","rare",""
"1066","Oligochaeta","rare",""
"1067","Corixidae","rare",""
"1067","Aeshnidae","rare",""
"1067","Calopterygidae","common",""
"1067","Coenagrionidae","common",""
"1067","Chironomidae","common",""
"1067","Simuliidae","rare",""
"1067","Prosobranchia","rare",""
"1067","Decapoda","rare",""
"1067","Isopoda","rare",""
"1067","Amphipoda","common",""
"1067","Oligochaeta","rare",""
"1068","Caenidae","rare",""
"1068","Heptageniidae","rare",""
"1068","Elmidae","rare",""
"1068","Hydropsychidae","common",""
"1068","Leptoceridae","common",""
"1068","Philopotamidae","common",""
"1068","Calopterygidae","rare",""
"1068","Coenagrionidae","rare",""
"1068","Chironomidae","common",""
"1068","Simuliidae","common",""
"1068","Ancylidae","rare",""
"1068","Sphaeriidae","common",""
"1068","Decapoda","rare",""
"1071","Tipulidae","rare",""
"1071","Physidae","rare",""
"1071","Decapoda","rare",""
"1071","Oligochaeta","rare",""
"1072","Caenidae","rare",""
"1072","Veliidae","rare",""
"1072","Glossosomatidae","rare",""
"1072","Hydropsychidae","common",""
"1072","Hydroptilidae","rare",""
"1072","Aeshnidae","rare",""
"1072","Calopterygidae","common",""
"1072","Coenagrionidae","common",""
"1072","Ceratopogonidae","rare",""
"1072","Chironomidae","common",""
"1072","Tabanidae","rare",""
"1072","Prosobranchia","rare",""
"1072","Physidae","rare",""
"1072","Planorbidae","rare",""
"1072","Sphaeriidae","rare",""
"1072","Decapoda","common",""
"1072","Amphipoda","common",""
"1072","Oligochaeta","rare",""
"1072","Hirudinea","rare",""
"1073","Hydropsychidae","common",""
"1073","Calopterygidae","rare",""
"1073","Coenagrionidae","rare",""
"1073","Chironomidae","common",""
"1073","Simuliidae","common",""
"1073","Sphaeriidae","rare",""
"1073","Decapoda","rare",""
"1073","Isopoda","common",""
"1073","Oligochaeta","rare",""
"1073","Hirudinea","rare",""
"1074","Hydropsychidae","rare",""
"1074","Calopterygidae","rare",""
"1074","Chironomidae","common",""
"1074","Simuliidae","rare",""
"1074","Decapoda","common",""
"1074","Isopoda","common",""
"1074","Oligochaeta","rare",""
"1075","Hydropsychidae","common",""
"1075","Calopterygidae","rare",""
"1075","Chironomidae","common",""
"1075","Simuliidae","rare",""
"1075","Ancylidae","rare",""
"1075","Decapoda","rare",""
"1075","Isopoda","rare",""
"1075","Amphipoda","rare",""
"1075","Oligochaeta","common",""
"1076","Heptageniidae","rare",""
"1076","Hydropsychidae","rare",""
"1076","Chironomidae","common",""
"1076","Sphaeriidae","rare",""
"1076","Decapoda","rare",""
"1076","Oligochaeta","rare",""
"1077","Heptageniidae","rare",""
"1077","Elmidae","rare",""
"1077","Hydropsychidae","rare",""
"1077","Calopterygidae","rare",""
"1077","Coenagrionidae","rare",""
"1077","Chironomidae","common",""
"1077","Ancylidae","rare",""
"1077","Physidae","rare",""
"1077","Decapoda","rare",""
"1077","Isopoda","rare",""
"1077","Amphipoda","rare",""
"1077","Oligochaeta","common",""
"1078","Perlodidae","rare",""
"1078","Dytiscidae","rare",""
"1078","Elmidae","rare",""
"1078","Haliplidae","rare",""
"1078","Hydropsychidae","common",""
"1078","Aeshnidae","rare",""
"1078","Corduliidae","rare",""
"1078","Chironomidae","common",""
"1078","Simuliidae","common",""
"1078","Tipulidae","rare",""
"1078","Physidae","rare",""
"1078","Decapoda","rare",""
"1078","Isopoda","rare",""
"1078","Oligochaeta","rare",""
"1079","Hydropsychidae","common",""
"1079","Aeshnidae","rare",""
"1079","Calopterygidae","common",""
"1079","Coenagrionidae","common",""
"1079","Chironomidae","common",""
"1079","Simuliidae","common",""
