"ID","BRANCH","Stream Name","FIELDID","Site Description","Sampling Roads","Sampling Location","County","city township","Latitude","Longitude","notes","Nearest Address","Permission?","Contact","Parking Latitude","Parking Longitude","SWS","Paired","ORG","Branch order","site photo?","updated?","easy to access","Temperature Sensors","Grow Zone?","Grow Zone Year?","GLRI Transforming","active","benthics","community sponsored","spring Comm sponsored","fall Comm sponsored","Lake","Fish"
"1","Upper","Bell Branch","Bell1","Bicentennial Park","7 Mile/Newburgh Rd","Upstream","Wayne","Livonia","42.42924","-83.39666","","Bicentennial Drive, Livonia, MI 48152","False","","","","M1","20a","FOTR","U Bel1","True","SP GPS","True","","Y","","False","True","True","True","True","True","False","False"
"2","Upper","Bell Branch","Bell2","Schoolcraft College","6 Mile/Haggerty","Upstream","Wayne","Livonia","42.4151185","-83.429007","","17410 College Pkwy, Livonia, MI 48152","False","","","","U","Sch","FOTR","U Bel2","True","O'Connell","False","","","","False","True","True","True","True","True","False","False"
"3","Upper","Bell Branch","Bell3","Livonia 6 Mile","6 Mile/Farmington","Downstream","Wayne","Livonia","42.41015","-83.39285","","16810 Wayne Rd, Livonia, MI 48154","False","","","","U","20","FOTR","U Bel3","True","SP GPS","False","","Y","2010","False","True","True","True","True","True","False","False"
"181","Upper","Bell Creek","Bell4","Hubbard Drive","Five Mile/Merriman","Upstream","Wayne","Livonia","42.40327","-83.36237","","32274 Myrna St, Livonia, MI 48154","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","False"
"191","Middle","Bishop Creek","Bish1","11 Mile and Meadowbrook","","","Oakland","Novi","42.482378","-83.460553","removed but added back in for history","","False","","","","","","FOTR","","False","","False","","","","False","False","False","False","False","False","False","False"
"33","Middle","Bishop Creek","Bish2","Bishop Scarborough","10 Mile/Meadowbrook ","Upstream","Oakland","Novi","42.47131","-83.45151","","41169 Scarborough Ln, Novi, MI 48375","False","","","","M","13a","FOTR","1","True","SP GPS","False","","N","","False","True","True","True","True","False","False","False"
"205","Middle","Curtis Lake","CL","Silver Springs Dr","","","Wayne","Northville","42.434131","-83.46284","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","True","True"
"211","Lower","Fellows Creek","DNRFel","N Fellows","Canton Ctr","","Wayne","Canton Twp","42.32336","-83.48854","","","False","","","","","","DNR","","False","","False","","","","False","False","False","False","False","False","False","True"
"131","Main","Evans Creek","Evan1","Evans Green Spruce","12 Mile/Evergreen","Upstream","Oakland","Southfield","42.504517","-83.2333884","","19076 Green Spruce Ln, Southfield, MI 48076","False","","","","","5a","FOTR","MN Evan1","False","","False","","","","False","False","True","False","False","False","False","False"
"136","Main","Evans Creek","Evan2","LTU","10 Mile/Northwestern","Upstream","Oakland","Southfield","42.472955","-83.247905","","20880 W 10 Mile Rd, Southfield, MI 48075","False","Don Carpenter","","","","5b","FOTR","MN Evan2","False","","False","","","","False","True","True","True","True","True","False","False"
