ID,BRANCH,FIELDID,STONEFLIES PRESENT?,ST2022,ST2022date,ST2022Family,ST2022Saltppm,ST2021,ST2021date,ST2021Family,ST2021Saltppm,ST2020date,ST2020,ST2020Family,ST2020Salt,ST2020Saltppm,ST19,ST19Family,ST19 date,ST19Collector,ST18,ST18Collector,ST17Collector,ST17date,ST17,ST17Capnids,ST17Perlodids,ST17Nemourids,ST17Taeniopteryx,ST16date,ST16Collector,ST16,ST16 Capnids,ST16 Perlodids,ST15,ST15date,ST15Capnids,ST15Perlodids,ST15Collector,ST14date,ST14,ST14Capnids,ST14Perlodids,ST13date,ST13,ST13Capnids,ST13Perlodids,St13Taeniopteryx,ST12,ST12Capnids,ST12Perlodids,ST12Taeniopteryx,ST11 Perlodids,ST11 Capnid,ST11,ST10,ST10 Capnid,ST10 Perlodid,ST10 Nemouridae,ST10 Taeniopterygidae,ST09,ST09 Capnid,ST09 Perlodid,ST08,ST08 Capnid,ST08Perlodid,ST07,ST06,ST05,ST04,ST03,ST02
1,U,Bell2,N,N,1/22/2022,,450,N,1/23/2021,,602,,,,,,N,,2/9/2019,SCH,N,Sch,Sch,1/21/2017,N,,,,,2/13/16,Sch,N,,,N,2/13/15,,,Sch,1/25/14,N,N,N,1/26/13,N,,,,N,,,,,,N,N,,,,,,,,,,,,,,N,,
2,L,Fel1,Y,N,1/22/2022,,91,N,1/23/2021,,86,1/25/2020,N,,2.200000048,56,N,,1/26/2019,1,N,1,4,1/21/2017,N,,,,,2/13/16,1,N,,,,,,,,,,,,1/26/13,N,,,,N,,,,,,N,N,,,,,,,,N,,,Y,N,,Y,N,Y
3,M,MR-14,N,N,1/23/2022,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/26/13,N,,,,,,,,,,,N,,,,,N,,,,,,,,,,,
4,M,MR-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,N,,,,,,,,,,,
5,M,MR-2a,Y,,,,,,,,,1/22/2020,N,,,,N,,1/18/2019,WC,N,9,WC,1/30/2017,Y,4,,,,2/13/16,9,N,,,N,2/7/15,,,ST,,,,,1/26/13,N,,,,N,,,,,,N,N,,,,,Y,Y,,N,,,,,,,,
6,M,Ton1,Y,N,1/22/2022,,86,N,1/23/2021,,222,1/25/2020,N,,4.199999809,187,N,,1/26/2019,2,N,10,9,1/21/2017,Y,2,,,,2/13/16,10,N,,,N,2/14/15,,,7,,,,,1/26/13,N,,,,N,,,,,,,N,,,,,,,,N,,,N,N,Y,Y,,
7,M,Ton1/2,Y,,,,,N,1/23/2021,,222,1/25/2020,N,,4.199999809,187,N,,1/26/2019,2,N,10,9,1/21/2017,N,,,,,2/13/16,10,N,,,N,2/14/15,,,7,1/25/14,N,N,N,1/26/13,N,,,,N,,,,,,N,N,,,,,Y,Y,,N,,,N,Y,Y,,,
8,M,Ton2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/25/14,N,N,N,1/26/13,N,,,,,,,,,,N,N,,,,,,,,N,,,N,,,N,N,Y
9,U,Up2,Y,N,1/22/2022,,360,Y,1/23/2021,Capnids,487,,,,,,N,,1/26/2019,4,N,12,,,,,,,,2/13/16,13,N,,,N,2/14/15,,,13,1/25/14,N,N,N,1/26/13,N,,,,N,,,,,,N,N,,,,,,,,N,,,N,N,N,N,Y,N
10,L,Fel2,Y,,,,,N,1/23/2021,,189,1/25/2020,N,,2.799999952,91,N,,1/26/2019,5,N,2,6,1/21/2017,N,,,,,2/13/16,2,N,,,N,2/14/15,,,8,,,,,1/26/13,N,,,,Y,Capniidae,,,,,N,Y,Allocapnia,,,,,,,Y,Y,,Y,N,,,,
11,L,Fel4,Y,N,1/19/2022,,140,,,,,1/22/2020,N,,,,,,,,,,,,,,,,,2/13/16,12,N,,,N,2/14/15,,,8,1/25/14,N,N,N,1/26/13,N,,,,Y,Capniidae,,,,,N,Y,Allocapnia,,,,,,,,,,,,N,,,
12,L,Fowl1,Y,,,,,Y,1/23/2021,Capnids,108,1/25/2020,Y,Capnids,1,20,Y,Capnids,1/26/2019,6,Y,3,8,1/21/2017,Y,45,,,,2/13/16,3,Y,14,,N,2/14/15,,,4,1/25/14,Y,Y,N,1/26/13,Y,Capniidae,,,Y,Capniidae,,,,Allocapnia,Y,Y,Allocapnia,,,,Y,Y,,Y,Y,,Y,Y,,Y,Y,Y
13,L,Fowl2,Y,N,1/31/2022,,55,N,1/23/2021,,86,,,,,,N,,1/26/2019,6,N,3,,,,,,,,2/13/16,3,Y,2,,N,2/14/15,,,4,1/25/14,N,N,N,1/26/13,N,,,,N,,,,,Allocapnia,Y,Y,Allocapnia,,,,N,,,N,,,N,,Y,,,
14,M,John1,Y,Y,1/22/2022,Capnids,342,N,1/23/2021,,86,1/25/2020,Y,Capnids,1.600000024,30,Y,Capnids,1/26/2019,7,Y,4,1,1/21/2017,Y,5,,,1,2/13/16,4,Y,10,,,,,,,1/25/14,Y,Y,N,1/26/13,Y,Capniidae,,,Y,Capniidae,,,,,N,Y,Allocapnia,Perlodidae,Nemouridae??,,,,,Y,Y,,Y,Y,,Y,Y,Y
15,M,John2,Y,Y,1/22/2022,"Capnids, Perlodids",40,N,1/23/2021,,108,1/25/2020,N,,1.399999976,25,Y,Capnid,1/26/2019,7,Y,4,1,1/21/2017,Y,3,,1,,2/13/16,4,N,,,,,,,,1/25/14,Y,Y,N,1/26/13,Y,Capniidae,,Taeniopteryx,Y,Capniidae,Perlodidae,,,Allocapnia,Y,Y,Allocapnia,,,,N,,,Y,Capnid,,Y,Y,,Y,N,Y
16,M,John3,Y,Y,1/22/2022,"Capnids, Perlodids",91,Y,1/14/2021,Capnids,97,1/25/2020,N,,2.200000048,56,Y,Capnids,1/26/2019,8,Y,5,3,1/21/2017,Y,18,,,1,2/13/16,5,N,,,Y,2/14/15,Y,,3,1/25/14,Y,Y,N,1/26/13,Y,Capniidae,,,Y,Capniidae,,Taeniopteryx,,,,Y,Allocapnia,,,,Y,Y,,Y,Y,,Y,,,Y,Y,Y
17,M,John5,Y,N,1/22/2022,,101,,,,,,,,,,Y,Capnids,1/26/2019,9,N,6,,,,,,,,2/13/16,6,N,,,Y,2/14/15,Y,,6,1/25/14,Y,Y,N,1/26/13,Y,Capniidae,,,N,,,,,Allocapnia,Y,Y,Allocapnia,,,,Y,Y,,Y,Y,,Y,Y,,Y,Y,Y
18,M,John6,Y,N,1/22/2022,,91,N,1/23/2021,,114,,,,,,N,,1/26/2019,10,N,7,,,,,,,,2/13/16,7,N,,,N,2/14/15,,,6,1/25/14,N,N,N,1/26/13,N,,,,Y,Capniidae,,,,Allocapnia,Y,Y,Allocapnia,,,,Y,Y,,Y,Y,,Y,Y,Y,,,Y
