"ID","FIELDID","community","County","F2020","S2021","S2022","F2022","S2023","F2023","Notes"
"7","Wall1","Wall5","Oakland","True","True","False","True","False","False",""
"8","Wall2","Wall5","Oakland","True","True","True","False","False","False",""
"9","Wall3","Wall5","Oakland","True","True","False","False","False","False",""
"10","Ing1","Wall5","Oakland","True","True","True","False","False","False",""
"11","Bish2","Wall5","Oakland","True","True","False","True","False","False",""
"12","Bell1","UR-3","Wayne","True","True","True","True","False","False",""
"13","Bell2","UR-3","Wayne","True","True","True","True","False","False",""
"14","Bell3","UR-3","Wayne","True","True","True","True","False","False",""
"15","Main5","Nott","Oakland","True","True","True","True","False","False",""
"16","Nott","Nott","Oakland","True","True","True","True","False","False",""
"17","Up2","Up2","Oakland","True","True","True","True","False","False",""
"18","Nton","Nton","Wayne","True","True","True","True","False","False",""
"19","Ton1","Fel7","Wayne","True","True","True","True","False","False",""
"20","Ton2","Fel7","Wayne","False","False","False","False","False","False",""
"21","Evan2","Evan2","Oakland","True","True","True","True","True","True",""
"22","Main6","Evan2","Oakland","True","True","True","True","True","True",""
"23","Evan3","Evan2","Oakland","True","True","False","False","False","False",""
"24","Main1","Main1","Oakland","True","True","True","True","False","False",""
"25","Sprag","Main1","Oakland","True","True","True","True","False","False",""
"26","John1","John1","Washtenaw","True","True","True","True","False","False","2022-26 Washt Cty priority"
"27","Fowl1","Fowl4","Washtenaw","True","True","True","False","False","False",""
"28","John2","MR-2","Wayne","True","True","True","True","False","False","2022-26 Washt Cty priority, Northille"
"29","John3","MR-2","Wayne","True","True","True","True","False","False","2022-26 Washt Cty priority, Northville"
"30","John5","MR-2","Wayne","True","True","False","False","False","False",""
"31","John7","MR-2","Wayne","True","True","False","True","False","False","2022-26 Washt Cty priority, Northville"
