"PrimaryID","BenTaxaID","BentaxaID_autonum","Native?","FinalID","CommonName","PresentInRouge","FishBug","SensitiveFamily","SensitGroup","Phylum","Class","Order","Suborder","Family","Genus","Species","level DEP id's to","lev_catag","GenDescrip"
"1","244","244","True","Diptera","True Fly","True","B","False","2.5","Arthropoda","Insecta","Diptera","","","","","Diptera","Order",""
"2","432","283","True","Dixidae","dixid midge","True","B","False","3","Arthropoda","Insecta","Diptera","","Dixidae","","","Dixidae","Family","Generally occur in marginal, depositional- lotic, and lentic habitats (Merritt and Cummins, 1996)."
"3","2061","1891","True","Glossosomatidae","saddle-case maker","True","B","True","1","Arthropoda","Insecta","Trichoptera","","Glossosomatidae","","","Glossosomatidae","Family","Larvae of this family are specialized for feeding on diatoms, green algae and fine organic material on rocks, often exposed (Masteller and Flint, 1991). Typically occur in lotic systems, in erosional zones (Merritt and Cummins, 1996)."
"4","2076","1906","False","Goeridae","","False","B","False","1","Arthropoda","Insecta","Trichoptera","","Goeridae","","","Goeridae","Family",""
"5","481","332","False","Psychodidae","","False","B","False","3","Arthropoda","Insecta","Diptera","","Psychodidae","","","Psychodidae","Family","Generally occur in lentic and depositional zones of lotic systems (Merritt and Cummins, 1996)."
"6","2412","2241","True","Psychomyiidae","net-tube caddis","True","B","True","1","Arthropoda","Insecta","Trichoptera","","Psychomyiidae","","","Psychomyiidae","Family","These typicaly occur in lotic systems, in erosional habitats (Merritt and Cummins, 1996). For the most part, larvae live in cool running waters (Wiggins, 1996). Construct tubes of silk covered with sand and debris on rock and wod substrates in cool runnin"
"7","1979","1809","False","Pteronarcyidae","","False","B","False","1","Arthropoda","Insecta","Plecoptera","","Pteronarcyidae","","","Pteronarcyidae","Family","Taxon typically occurs in small forested streams and rivers in Pennsylvania (Earle, personal communication). They are typically found in lotic systems, in both erosional and depositional zones (Merritt and Cummins, 1996)."
"8","1798","1643","True","Plecoptera","Stonefly","True","B","False","1","Arthropoda","Insecta","Plecoptera","","","","","Plecoptera","Order",""
"9","1374","1219","True","Pleidae","pigmy back-swimmer","True","B","False","3","Arthropoda","Insecta","Hemiptera","","Pleidae","","","Pleidae","Family",""
"10","2377","2206","True","Polycentropodidae","spotted head","True","B","False","1","Arthropoda","Insecta","Trichoptera","","Polycentropodidae","","","Polycentropodidae","Family","Polycentropodidae are known to inhabit medium size streams and larger rivers in Pennsylvania (Masteller and Flint, 1991). Typically occur in lotic systems, in erosional zones (Merritt and Cummins, 1996)."
"11","1277","1122","False","Polymitarcyidae","pale burrowers","False","B","True","1","Arthropoda","Insecta","Ephemeroptera","","Polymitarcyidae","","","Polymitarcyidae","Family","Large river taxon? Occur in both erosional and depositional zones of lotic systems (Merritt and Cummins, 1996)."
"12","3000","2826","True","Porifera","Freshwater Sponge","True","B","False","","Porifera","","","","","","","Porifera","Phyllum",""
"13","1284","1129","False","Potamanthidae","hacklegill","False","B","False","1","Arthropoda","Insecta","Ephemeroptera","","Potamanthidae","","","Potamanthidae","Family","These occur in rivers and medium size streams. Larvae do not burrow, but sprawl of rocks and woody debris (Hoover, 2000). Live in depositional areas (Merritt and Cummins, 1996)."
"14","1291","1136","False","Pseudironidae","","False","B","False","1","Arthropoda","Insecta","Ephemeroptera","","Pseudironidae","","","","family",""
"15","2418","2247","True","Rhyacophilidae","free-living caddisfly","True","B","True","1","Arthropoda","Insecta","Trichoptera","","Rhyacophilidae","","","Rhyacophilidae","Family","This family occurs almost exclusively in cool, lotic waters (Wiggins 2000). Family present in at least 40% of the reference quality low gradient sites surveyed to date in PA (McGarrill, personal communication). Typically occur in lotic systems, in erosional zones (Merritt and Cummins, 1996)."
"16","1986","1816","True","Taeniopterygidae","broadback stonefly","True","B","True","1","Arthropoda","Insecta","Plecoptera","","Taeniopterygidae","","","Taeniopterygidae","Family","Taxon is ubiquitous in PA, occurring in all sizes of creeks and rivers (Earle, personal communication). They are typically found in lotic systems, in erosional zones and along margins of depositional zones (Merritt and Cummins, 1996)."
"17","1479","1324","True","Megaloptera","dobsonflies","True","B","False","1.5","Arthropoda","Insecta","Megaloptera","","","","","Megaloptera","Order",""
"18","1362","1207","True","Mesoveliidae","water treaders","True","B","False","3","Arthropoda","Insecta","Hemiptera","","Mesoveliidae","","","Mesoveliidae","Family",""
"19","1255","1100","False","Metretopodidae","cleft minnow mayfly","False","B","True","1","Arthropoda","Insecta","Ephemeroptera","","Metretopodidae","","","Metretopodidae","Family",""
"20","1219","1064","True","Leptophlebiidae","pronggill","True","B","True","1","Arthropoda","Insecta","Ephemeroptera","","Leptophlebiidae","","","Leptophlebiidae","Family","Represented by 1 genus in PA, Tricorythodes. Taxon typically occurs in erosional areas of streams, has variable water quality needs and is widely distributed in Pennsylvania (Merritt and Cummins 1996, Hoover 2000)."
"21","1734","1579","True","Libellulidae","common skimmer","True","B","False","2","Arthropoda","Insecta","Odonata","anisoptera","Libellulidae","","","Libellulidae","Family","These are primarily lentic (Merritt and Cummins, 1996)."
