"ID","Scientific name","common name"
"2","Alasmidonta viridis","Slippershell"
"3","Elliptio dilatata","Spike"
"4","Fusconaia flava","Wabash Pigtoe"
"5","Lampsilis cardium","Plain Pocketbook"
"6","Lampsilis siliquoidea","Fat Mucket"
"7","Lasmigona complanata","White heelsplitter"
"8","Lasmigona compressa","Brook heelsplitter"
"10","Pyganodon grandis","Common floater"
"11","Strophitus undulatus","Squawfoot or Creeper or Strange floater"
"12","Utterbackia imbecilis","Paper pondshell"
"13","Taxolasma Parvum","Lilliput"
"14","Cambarunio iris","Rainbow"
"15","Actinonaias ligamentina","Mucket"
