"ID","SITE_NAME","SITE_LOCAT","WATERBODY_","SWS","LONGITUD","LATITUDE","BRANCH","FIELDID","FOTR/WC","YRS SAM","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","#Yrs samp","SP2022 SQI","SP2022 TAXA","SP2022 EPT","SP2022 WQRF","SP2022 COLL","SP2022 DATE","SP2022 TEAM","SP2021 TEAM","SP2021 DATE","SP2021 SQI","SP2021 TAXA","SP2021 INSECT TAXA","SP2021 EPT","SP2021 SENS","SP2021 WQR","SP2021 WQRF","SP2020 TEAM","SP2020 DATE","SP2020 COLL","SP2020 FIELDID","SP2020 LABID","SP2020 SQI","SP2020 TAXA","SP2020 EPT","SP2020 SENS","SP2020 Salt","AVE","SP19 TEAM","SP19 DATE","SP19 COLL","SP19 FIELDID","SP19 LABID","SP19 SQI","SP19 TAXA","SP19 EPT","SP19 SENS","SP18 TEAM","SP18 DATE","SP18 COLL","SP18 FIELDID","SP18 LABID","SP18 SQI","SP18 TAXA","SP18 EPT","SP18 SENS","SP17 TEAM","SP17 DATE","SP17 COLL","SP17 FIELDID","SP17 LABID","SP17 SQI","SP17 TAXA","SP17 EPT","SP17 SENS","SP16 Team","SP16 DATE","SP16 COLL","SP16 FIELDID","SP16LABID","SP16 SQI","SP16 TAXA","SP16 EPT","SP16 SENS","SP15 DATE","SP15 COLL","SP15 FIELDID","SP15 LABID","SP15 SQI","SP15 TAXA","SP15 EPT","SP15 SENS","SP15","SP14","SP14 COLL","SP14 FIELDID","SP14 LABID","SP14 SQI","SP14 TAXA","SP14 EPT","SP14 SENS","SP13","SP13 COLL","SP13 FIELDID","SP13 LABID","SP13 SQI","SP13 TAXA","SP13 EPT","SP13 SENS","SP12 DATE","SP12 COLL","SP12 FIELDID","SP12 LABID","SP12 SQI","SP12 TAXA","SP12 EPT","SP12 SENS","SP11 DATE","SP11 COLL","SP11 FIELDID","SP11 LABID","SP11 SQI","SP11 TAXA","SP11 EPT","SP11 SENS","SP10 DATE","SP10 COLL","SP10 FIELDID","SP10 LABID","SP10 SQI","SP10 TAXA","SP10EPT","SP10SENS","SP09ERR","SP09","SP09COLL","SP09ID","SP09 SQI","SP09 TAXA","SP09 EPT","SP09 SENS","SP08 DATE","SP08COLLECTOR","SP08ID","SP08IDLAB","SP08 SQI","SP08 TAXA","SP08EPT","SP08 SENS","SP07 DATE","SP07COLLECTOR","SP07ID","SP07IDLAB","SP07 SQI","SP07 TAXA","SP07EPT","SP07 SENS","SP06DATE","SP06SAMPLER","SP06 SQI","SP06 TAXA","SP06 EPT","SP06 SENS","SP05 DATE","SAMPLER","SP05 SQI","SP05 TAXA","SP05 EPT","SP05 SENS","SP04 DATE","SP04 SQI","SP04 TAXA","SP03 SQI","SP03TAXA","SP02 SQI","SP02TAXA","SP01 SQI","SP01TAXA"
"13","Booth Park","Old Woodward/Euclid","Main Rouge","M1/2","-83.21774","42.54891","MN","Main3","FOTR","","","Y","Y","Y","","","","","Y","Y","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","26.65","","","","","","","","","","","","","","","","","","","7","2017-05-06 00:00:00","Peerbolte","Berger","McCulloch","29.6","12","2","0","","","","","","","","","","2015-04-18 00:00:00","Weis","Berger","McCulloch","30.1","11","2","0","19","","","","","","","","","4/21/13","Eisenmann","Eisenmann","McCulloch","31","11","2","0","2012-04-17 00:00:00","Evans","Stopa","McCulloch","31","13","1","0","","","","","","","","","2010-04-25 00:00:00","L Steiner","Eisenmann","McCulloch","37","12","2","0","-0.0131332082551595","2009-04-25 00:00:00","Eisenmann","McCulloch","27","10","2","0","2008-04-26 00:00:00","Peterson","Eisenman","McCulloch","29.7","10","2","0","","","","","","","","","","","","","","","","","","","","","","","","23.6","10","27.5","9","",""
"14","B'ham","15 Mile/Southfield","Main Rouge","M1/2","-83.22478","42.54242","MN","Main4","FOTR","","","Y","","","Y","Y","","Y","Y","Y","Y","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-04-18 00:00:00","Weis","Berger","McCulloch","22.8","9","1","0","19","4/12/14","Faber","Faber","McCulloch","23","11","0","0","","","","","","","","","2012-04-17 00:00:00","Gruelle","Gruelle","McCulloch","34","11","3","0","","","","","","","","","2010-04-24 00:00:00","J Springer","Mogill","McCulloch","34","16","2","0","","","","","","","","","","","","","","","","","2007-04-28 00:00:00","Sendek","Mogill","McCulloch","30","11","2","0","2006-04-29 00:00:00","Nightingale","28","9","2","0","","","","","","","2004-04-24 00:00:00","23.4","9","25.3","9","22.7","8","23.5","8"
"15","Fairway Park","Lincoln/Southfield","Main Rouge","M1/2","-83.22861","42.53718","MN","Main4.5","FOTR","","","Y","","","Y","Y","Y","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","2018-04-21 00:00:00","Jessica Zehr","Jessica Zehr","none","33.5","13","2","0","","","","","","","","","","9","","","","","","","","","","","","","","","","","","4/12/14","Faber","Faber","McCulloch","19","8","0","","","","","","","","","","2012-04-17 00:00:00","Gruelle","Gruelle","McCulloch","18","8","0","0","","","","","","","","","2010-04-24 00:00:00","J Springer","Mogill","McCulloch","33","14","3","0","","","","","","","","","","","","","","","","","2007-04-28 00:00:00","Sendek","Mogill","McCulloch","27","13","1","0","2006-04-29 00:00:00","Nightingale","32","12","2","0","2005-05-02 00:00:00","FOTR","19.5","8","2","0","","","","","","","","",""
"58","Douglas Evans","Evergreen/13 Mile","Main Rouge","M1/2","-83.24692","42.52219","MN","Main5","FOTR","","","","Y","","","Y","Y","Y","","","","4","40","16","1","6.16","Eisenman","2022-04-23 00:00:00","3","5","4/17/2021","28.8","10","6","2","0","","","","","","","","","","","","","21.1","WC FOTR","4/12/19","Mike Flowers","Mike Flowers","Sue Thompson","29.1","12","1","0","9","2018-04-21 00:00:00","Jessica Zehr","Jessica Zehr","none","20.4","8","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","4/12/14","Clark","Agosta","McCulloch","24","9","2","0","4/30/13","Kamarinas","Petrella","Petrella","30","13","2","0","","","","","","","","","2011-04-30 00:00:00","Weis","Schlecht","McCulloch","33","13","1","0","","","","","","","","","-0.232227488151659","2009-04-25 00:00:00","Elliott","McCulloch","26","11","1","0","","","","","","","","","","","","","","","","","2006-04-29 00:00:00","Mogill-Cousin","23","12","1","0","2005-04-23 00:00:00","FOTR","20.7","8","1","0","2004-04-24 00:00:00","19.6","7","","","","","",""
"59","Sfld","Civic Center Dr/Telegraph","Main Rouge","M1/2","-83.2845","42.47886","MN","Main6","FOTR","","","","","Y","Y","Y","","Y","Y","","Y","6","26","14","1","6.43","Davis","2022-04-28 00:00:00","16","3","4/17/2021","18.4","8","4","2","0","","","","","","","","","","","","","","","","","","","","","","","8","2018-04-21 00:00:00","Bill Eisenman","Bill Eisenman","Sally Petrella","20.3","7","1","0","","","","","","","","","","11","4/16/16","Getschman","Getschman","Getschman","30.4","13","1","0","","","","","","","","","","4/12/14","Clark","Agosta","McCulloch","18","8","1","0","5/7/2013","Petrella","Petrella","Kamarinas","28","13","1","0","2012-04-21 00:00:00","McCulloch","McCulloch","McCulloch","40","14","3","1","2011-05-04 00:00:00","Halliday","Petrella","McCulloch","29","11","2","0","","","","","","","","","","","","","","","","","2008-04-26 00:00:00","Gruelle","Gruelle","McCulloch","18.4","8","1","0","2007-04-28 00:00:00","Dajos","Faber","McCulloch","19.1","7","1","0","2006-04-29 00:00:00","Cousin","17","8","1","0","","","","","","","2004-04-24 00:00:00","25.4","11","10","3","","","20.9","7"
"90","Sfld 10 Mile","","Main Rouge","M1/2","-83.288623","42.471598","MN","Main7","WC","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-04-17 00:00:00","Mullett","Mullett","Thompson","31.9","15","1","0","WC","4/22/14","Mullett","Mullett","Thompson","29","13","0","0","5/7/13","Flowers","Flowers","Thompson","44","17","1","0","2012-04-21 00:00:00","Cloutier","McCulloch","McCulloch","32","12","1","0","2011-05-04 00:00:00","Petrella","Halliday","McCulloch","24","11","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","Fordson Island","","Main Rouge","M3/4","-83.14873","42.29352","MN","Main8","FOTR","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","T","","","","","","","","","","","","","","","","","","2015-05-01 00:00:00","Petrella","Petrella","Petrella","19.6","10","0","0","SP","5/1/14","Thompson","Petrella","Petrella","24","9","0","0","5/7/13","Petrella","Petrella","Kamarinas","22","12","0","0","2012-05-02 00:00:00","Halliday","Petrella","Petrella","23","9","0","0","2011-05-11 00:00:00","Petrella","Petrella","McCulloch","21","6","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","Northville Rec Area","Northville Rd/7 Mile","Middle Rouge","M1","-83.47546","42.42177","M","Mid1","FOTR","","","","","Y","Y","Y","Y","Y","","","","5","","","","","","","","11","4/17/2021","32.6","13","8","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-04-18 00:00:00","Liu","Boegehold","McCulloch","19","7","2","0","5","","","","","","","","","","","","","","","","","2012-04-17 00:00:00","Halliday","Halliday","McCulloch","41","19","2","0","","","","","","","","","","","","","","","","","","","","","","","","","2008-04-26 00:00:00","Thompson","Thompson","McCulloch","19.5","8","2","0","2007-04-28 00:00:00","Cousin","Weis","McCulloch","35","12","3","0","2006-04-29 00:00:00","Sendek","19","6","1","0","2005-04-23 00:00:00","FOTR","26.6","10","2","0","2004-05-04 00:00:00","19.4","7","","","","","",""
"2027","","","Middle Rouge","","","","M","Mid3","FOTR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-04-18 00:00:00","Kukulski","Tluczek","McCulloch","36.8","15","2","0","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2032","","","Middle Rouge","","","","M","Mid5","FOTR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","REP","6/22/16","Petrella","Petrella","Petrella","26.4","11","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
