"ID","BRANCH","FIELDID","STONEFLIES PRESENT?","ST2022","ST2022date","ST2022Family","ST2022Saltppm","ST2021","ST2021date","ST2021Family","ST2021Saltppm","ST2020date","ST2020","ST2020Family","ST2020Salt","ST2020Saltppm","ST19","ST19Family","ST19 date","ST19Collector","ST18","ST18Collector","ST17Collector","ST17date","ST17","ST17Capnids","ST17Perlodids","ST17Nemourids","ST17Taeniopteryx","ST16date","ST16Collector","ST16","ST16 Capnids","ST16 Perlodids","ST15","ST15date","ST15Capnids","ST15Perlodids","ST15Collector","ST14date","ST14","ST14Capnids","ST14Perlodids","ST13date","ST13","ST13Capnids","ST13Perlodids","St13Taeniopteryx","ST12","ST12Capnids","ST12Perlodids","ST12Taeniopteryx","ST11 Perlodids","ST11 Capnid","ST11","ST10","ST10 Capnid","ST10 Perlodid","ST10 Nemouridae","ST10 Taeniopterygidae","ST09","ST09 Capnid","ST09 Perlodid","ST08","ST08 Capnid","ST08Perlodid","ST07","ST06","ST05","ST04","ST03","ST02"
"1","U","Bell2","N","N","2022-01-22 00:00:00","","450","N","2021-01-23 00:00:00","","602","","","","","","N","","2019-02-09 00:00:00","SCH","N","Sch","Sch","2017-01-21 00:00:00","N","","","","","2/13/16","Sch","N","","","N","2/13/15","","","Sch","1/25/14","N","N","N","1/26/13","N","","","","N","","","","","","N","N","","","","","","","","","","","","","","N","",""
"2","L","Fel1","Y","N","2022-01-22 00:00:00","","91","N","2021-01-23 00:00:00","","86","2020-01-25 00:00:00","N","","2.2","56","N","","2019-01-26 00:00:00","1","N","1","4","2017-01-21 00:00:00","N","","","","","2/13/16","1","N","","","","","","","","","","","","1/26/13","N","","","","N","","","","","","N","N","","","","","","","","N","","","Y","N","","Y","N","Y"
"3","M","MR-14","N","N","2022-01-23 00:00:00","","153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1/26/13","N","","","","","","","","","","","N","","","","","N","","","","","","","","","","",""
"4","M","MR-17","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","N","","","","","","","","","","",""
"5","M","MR-2a","Y","","","","","","","","","2020-01-22 00:00:00","N","","","","N","","2019-01-18 00:00:00","WC","N","9","WC","2017-01-30 00:00:00","Y","4","","","","2/13/16","9","N","","","N","2/7/15","","","ST","","","","","1/26/13","N","","","","N","","","","","","N","N","","","","","Y","Y","","N","","","","","","","",""
"6","M","Ton1","Y","N","2022-01-22 00:00:00","","86","N","2021-01-23 00:00:00","","222","2020-01-25 00:00:00","N","","4.2","187","N","","2019-01-26 00:00:00","2","N","10","9","2017-01-21 00:00:00","Y","2","","","","2/13/16","10","N","","","N","2/14/15","","","7","","","","","1/26/13","N","","","","N","","","","","","","N","","","","","","","","N","","","N","N","Y","Y","",""
"7","M","Ton1/2","Y","","","","","N","2021-01-23 00:00:00","","222","2020-01-25 00:00:00","N","","4.2","187","N","","2019-01-26 00:00:00","2","N","10","9","2017-01-21 00:00:00","N","","","","","2/13/16","10","N","","","N","2/14/15","","","7","1/25/14","N","N","N","1/26/13","N","","","","N","","","","","","N","N","","","","","Y","Y","","N","","","N","Y","Y","","",""
"8","M","Ton2","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1/25/14","N","N","N","1/26/13","N","","","","","","","","","","N","N","","","","","","","","N","","","N","","","N","N","Y"
"9","U","Up2","Y","N","2022-01-22 00:00:00","","360","Y","2021-01-23 00:00:00","Capnids","487","","","","","","N","","2019-01-26 00:00:00","4","N","12","","","","","","","","2/13/16","13","N","","","N","2/14/15","","","13","1/25/14","N","N","N","1/26/13","N","","","","N","","","","","","N","N","","","","","","","","N","","","N","N","N","N","Y","N"
"10","L","Fel2","Y","","","","","N","2021-01-23 00:00:00","","189","2020-01-25 00:00:00","N","","2.8","91","N","","2019-01-26 00:00:00","5","N","2","6","2017-01-21 00:00:00","N","","","","","2/13/16","2","N","","","N","2/14/15","","","8","","","","","1/26/13","N","","","","Y","Capniidae","","","","","N","Y","Allocapnia","","","","","","","Y","Y","","Y","N","","","",""
