"SampID","HabitatSampled"
"167","submerged wood"
"167","undercut overhanging"
"168","riffles"
"168","cobbles"
"168","aquatic plants"
"168","runs"
"168","stream margins"
"168","leaf packs"
"168","pools"
"168","undercut overhanging"
"168","submerged wood"
"168","other"
"169","riffles"
"169","cobbles"
"169","aquatic plants"
"169","runs"
"169","stream margins"
"159","leaf packs"
"159","pools"
"169","undercut overhanging"
"169","submerged wood"
"170","riffles"
"170","cobbles"
"170","aquatic plants"
"170","runs"
"170","stream margins"
"170","leaf packs"
"170","pools"
"170","undercut overhanging"
"170","submerged wood"
"171","riffles"
"171","cobbles"
"171","aquatic plants"
"171","runs"
"171","stream margins"
"171","pools"
"171","undercut overhanging"
"171","submerged wood"
"172","riffles"
"172","cobbles"
"172","aquatic plants"
"172","runs"
"172","stream margins"
"172","leaf packs"
"172","pools"
"172","undercut overhanging"
"172","submerged wood"
"172","other"
"173","riffles"
"173","aquatic plants"
"173","cobbles"
"173","runs"
"173","stream margins"
"173","leaf packs"
"173","pools"
"173","undercut overhanging"
"173","submerged wood"
"174","riffles"
"174","cobbles"
"174","runs"
"174","stream margins"
"174","pools"
"174","undercut overhanging"
"174","submerged wood"
"175","riffles"
"175","cobbles"
"175","aquatic plants"
"175","other"
"175","runs"
"175","stream margins"
"175","leaf packs"
"175","pools"
"175","undercut overhanging"
"176","riffles"
"176","cobbles"
"176","runs"
"176","leaf packs"
"176","pools"
"176","submerged wood"
"177","riffles"
"177","cobbles"
"177","aquatic plants"
"177","runs"
"177","stream margins"
"177","leaf packs"
"177","pools"
"177","undercut overhanging"
"177","submerged wood"
"178","riffles"
"178","cobbles"
"178","aquatic plants"
"178","runs"
"178","pools"
"178","undercut overhanging"
"178","submerged wood"
"179","riffles"
"179","cobbles"
"179","aquatic plants"
"179","runs"
"179","stream margins"
"179","leaf packs"
"179","pools"
"179","undercut overhanging"
"179","submerged wood"
"179","other"
"180","riffles"
"180","cobbles"
"180","aquatic plants"
"180","runs"
"180","stream margins"
"180","leaf packs"
"180","pools"
"180","undercut overhanging"
"180","submerged wood"
"181","riffles"
"181","cobbles"
"181","aquatic plants"
"181","other"
"181","stream margins"
"181","leaf packs"
"181","pools"
"181","undercut overhanging"
"181","submerged wood"
"182","riffles"
"182","cobbles"
"182","aquatic plants"
"182","runs"
"182","stream margins"
"182","leaf packs"
"182","pools"
"182","undercut overhanging"
"182","submerged wood"
"183","riffles"
"183","cobbles"
"183","aquatic plants"
"183","other"
"183","runs"
"183","stream margins"
"183","leaf packs"
"183","pools"
"183","undercut overhanging"
"183","submerged wood"
"184","riffles"
"184","aquatic plants"
