"ID","FIELDID","Date","Time","fname","lname","water temp, C","DO, mg/L","pH","heavy rain now","heavy rain past 24 hrs","steady rain now","steady rain past 24 hrs","intermittent showers now","intermittent showers past 24 hrs","% cloud cover now","% cloud cover past 24 hrs","clear/sunny now","clear/sunny past 24 hrs","heavy rain in last 7 days?","boulder","cobble","gravel","sand","silt","clay","predominant substrate","2nd predominant substrate","undercut banks","overhanging vegetation","deep pools","length sampled","width sampled","canopy cover","high water mark in ft","channelized","% riffle","% pool","% run","wood in stream?","proportion covered with wood","aquatic plants present?","algae present?","algae color","sheen or oil slick?","breaks up when poked?","how turbid is the water?","rt bank rip veg width","rt bank % mowed grass","rt bank % other herbaceous plants","rt bank % trees","rt bank % bare soil","rt bank % shrubs","rt bank % paved","lft bank rip veg width","lft bank % mowed grass","lft bank % other herbaceous plants","lft bank % trees","lft bank % bare soil","lft bank % shrubs","lft bank % paved","land use - 1","land use - 2","land use - 3","land use  - 4","land use  - 5","Outfalls?","Number of outfalls","Number of outfalls flowing","type of discharge, description","concerns","biggest  threat"
"1","LR-8","2013-05-11 00:00:00","1899-12-30 11:45:00","Bob","Muller","14","0","0","False","False","False","True","False","False","0.9","","False","False","False","True","True","True","True","True","True","gravel","","True","False","True","300","4","26-50%","","True","0.2","0.2","0.6","True","0-25%","False","True","green & brown","False","False","slightly turbid","40","","","0.9","","","","20","","","0.8","","","","forest","residential","","","","False","","","","",""
"2","Low3","2013-06-01 00:00:00","1899-12-30 09:00:00","Bob","Muller","18","0","0","False","False","False","False","False","False","0","","True","False","False","False","False","True","True","True","False","sand","","False","True","False","100","3","76-100%","","False","","","1","True","0-25%","True","False","","False","False","clear","6","","","","","1","","6","","","","","1","","field","agriculture","","","","False","","","","",""
"3","Low2","2013-05-11 00:00:00","1899-12-30 09:00:00","Bob","Muller","13","0","0","False","False","False","False","False","False","1","0.3","False","False","False","False","False","True","True","True","True","sand","","True","True","False","300","2","26-50%","","True","0.05","0.4","0.55","True","0-25%","False","True","","False","False","slightly turbid","8","","","","","","","12","","","","","","","field","agriculture","","","","False","","","","low water flow",""
"4","LR-2","2013-05-10 00:00:00","1899-12-30 13:50:00","Bob","Muller","20","0","0","False","False","False","True","False","False","0.9","","False","False","False","True","True","True","True","True","True","sand","","True","True","True","300","20","26-50%","","False","0.2","0.2","0.6","True","0-25%","False","False","","False","False","slightly turbid","100","","0.1","0.5","","0.4","","100","","0.1","0.5","","0.4","","agriculture","bridges","residential","","","False","","","","",""
"5","Low4","2013-08-09 00:00:00","1899-12-30 11:30:00","Bob","Muller","","0","0","False","False","False","False","False","False","0.15","0.8","True","False","False","False","False","True","True","False","True","sand","clay","True","True","True","300","25","76-100%","","False","0.05","0.25","0.7","True","0-25%","False","False","","False","False","slightly turbid","","","","","","","","","","","","","","","forest","","","","","True","1","0","","",""
"6","LR-12","2013-05-31 00:00:00","1899-12-30 09:00:00","Bob","Muller","21.5","0","0","False","False","False","False","False","False","0.2","","True","False","True","False","True","False","True","False","True","sand","","True","True","True","300","20","0-25%","","False","0.05","0.15","0.8","True","0-25%","False","False","","False","False","turbid","100","","","0.9","","0.1","","100","","","0.9","","0.1","","forest","","","","","False","","","","",""
"7","LR-1","2013-05-31 00:00:00","1899-12-30 11:30:00","Bob","Muller","21.5","0","0","False","False","False","False","True","False","1","","False","False","True","False","False","False","True","True","True","sand","","False","False","True","300","25","0-25%","","False","","0.1","0.9","True","0-25%","False","False","","False","False","turbid","100","","","0.9","","0.1","","100","","","0.9","","0.1","","forest","","","","","False","","","","",""
"8","Low6","2013-08-03 00:00:00","1899-12-30 11:00:00","Bob","Muller","21","0","0","False","False","False","False","False","False","0.05","0.05","True","True","True","False","False","True","True","True","False","gravel","sand","False","False","False","300","35","51-75%","","True","","1","","True","0-25%","False","False","","False","False","slightly turbid","400","","","1","","","","100","","","1","","","","forest","","","","","False","","","","",""
"9","Low7","2013-08-02 00:00:00","1899-12-30 11:00:00","Bob","Muller","21.5","0","0","False","False","False","False","False","False","0.2","0.4","True","False","False","False","True","True","True","True","True","gravel","sand","False","True","True","300","40","51-75%","","False","0.1","0.2","0.7","True","0-25%","False","False","","False","False","slightly turbid","400","","","1","","","","400","","","1","","","","forest","field","industrial","bridges","","True","1","1","","",""
"10","Low8","2013-08-02 00:00:00","1899-12-30 09:00:00","Bob","Muller","21","0","0","False","False","False","False","False","False","0.2","0.4","True","False","True","False","False","True","True","True","False","sand","","False","True","False","300","30","51-75%","","False","","","1","True","0-25%","False","False","","False","False","slightly turbid","400","","","1","","","","150","","","1","","","","forest","residential","","","","False","","","","",""
