"ID","Sampl ID","Live Species","number","males","females"
"1","940","7","11","",""
"2","940","10","10","",""
"3","940","8","5","",""
"4","940","12","3","",""
"5","941","7","2","",""
"6","943","10","1","",""
"7","944","5","9","1","7"
"8","944","8","2","",""
"9","945","5","2","","2"
"10","945","8","1","",""
"11","945","11","2","",""
"12","945","10","1","",""
"13","946","10","7","",""
"14","946","5","10","6","4"
"15","946","8","1","",""
"16","946","4","1","",""
"17","946","12","1","",""
"18","1455","5","1","",""
