"ID","FIELDID","2022","Reason","date","WSU"
"1","LR-11A","1","goby, delisting","","1"
"2","LR-10","1","goby, delisting","","1"
"3","LR-12","1","goby","","1"
"4","LR-2","1","goby","","1"
"5","Low9","1","goby","",""
"6","Fowl5","1","goby","",""
"7","Low11","1","goby","",""
"8","Fowl4","1","goby","",""
"9","Main20","1","Fair Lane Dam","",""
"10","MN-2","1","CSO","",""
"12","John2","1","redside, PFAS","2022-06-06 00:00:00","1"
"13","John3","1","redside, PFAS","2022-06-06 00:00:00","1"
"15","Up1","1","redside","",""
"17","Main5","1","delisting","",""
"18","See3","1","redside","",""
"19","Min2","1","redside","",""
"20","MR-15","1","delisting","",""
"21","MR-4","1","PFAS","2022-06-07 00:00:00","1"
"22","MR-11","1","PFAS","2022-06-07 00:00:00","1"
"23","John1","1","redside, landfill","",""
