"FishFoundID","SampleID","Bowfin","Gizzard shad","Central stoneroller","Goldfish","Redside dace","Spotfin shiner","Common carp","Common shiner","Hornyhead chub","Golden shiner","Emerald shiner","Blackchin shiner","Blacknose shiner","Spottail shiner","Mimic shiner","Bluntnose minnow","Fathead minnow","Northern redbelly dace","Blacknose dace","Creek chub","White sucker","Northern hogsucker","Spotted sucker","Golden redhorse","Black bullhead","Yellow bullhead","Brown bullhead","Stonecat","Grass pickerel","Northern pike","Central mudminnow","Mottled sculpin","Mummichog","Mosquito fish","Brook silverside","Brook stickleback","Rainbow trout","Brown trout","White perch","Rock bass","Green sunfish","Lepomis gibbosus","Pumpkinseed","Northern sunfish","Sunfish hybrid","Smallmouth bass","Largemouth bass","Black crappie","Rainbow darter","Iowa darter","Least darter","Johnny darter","Yellow perch","Logperch","Blackside darter","Round goby"
"105","1","","50","","","","","","","","","150","","","","","4","7","","","","","","","","","","","","","","","","","","50","","","","","","","","1","","","15","","","","","","1","","","","30"
"23","2","","","12","","","","","3","","1","","","","","","","21","","49","55","7","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","26","","","",""
"65","3","","","2","","","","","94","","","","","","","","17","47","","67","34","10","","","","","","","","","","1","","3","","","","","","","","","1","5","","","","","","","","","63","","","",""
"106","4","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","5","","","4","","3","","","150","","","","","","","","3","11","","15","49","9","","","","","","","","","","","2","","","","","","","","","","1","2","","","","","","1","","","45","","","",""
"66","6","","","2","","","","","194","","2","","","","","","11","28","","63","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","68","","","",""
"48","7","","","4","","","","","263","","","","","","","","3","6","","20","42","9","","","","","","","","","","","","","","","","","","","","","2","12","","","","","","","","","18","","","",""
"15","8","","","18","","1","","","41","","1","","","","","","35","22","","","23","","","","","1","","","","","","1","2","","","","1","","","","","","","1","","","","","","","","","12","","","",""
"33","9","","","8","","","","","","","","","","","","","","4","","13","14","","","","","","","","","","","","","","","","","","","","","","","1","","3","","","","","","","","","","",""
"67","10","","","2","","","","","22","","","","","","","","","10","","14","17","","","","","","","","","","","","6","","","","","","","","","","1","1","","","","","","4","","","1","","","",""
"25","11","","","11","","5","","","62","","","","","","","","","18","","8","49","3","6","","","","","","","","","","1","","","","","","","","","","8","","","","","","","11","","","19","","","",""
"29","12","","","10","","","","","39","","","","","","","","","7","","19","23","5","8","","","","","","","","","","6","","","","","","","","","","1","2","","","","","","45","","","4","","","",""
"16","13","","","16","","","","","","","","","","","","","19","91","81","3","47","3","","","","","","1","","","","5","9","","","","","","","","","1","6","21","","2","","","","90","","","23","","","",""
"13","14","","","20","","","","","","","","","","","","","1","18","","","27","5","","","","","","","","","","8","13","","","","3","","","","","","5","14","","","","3","","6","","","30","","","",""
"20","15","","","13","","8","","","","","","","","","","","22","84","","","30","18","","","","","","","","","","5","10","","","","","","4","","","","2","3","","","","","","7","","","44","","","",""
"31","16","","","9","","","","","","","2","","","","","","12","13","","1","","4","","","","","","1","","","","6","9","","","","2","","2","","","","","18","","","","","","4","","","12","","","",""
"107","17","","","","","","","","","","","","","","","","","1","","4","","","","","","","","","","","","7","10","","","","","","","","","","","","","","","","","","","","2","","","",""
"78","18","","","1","","","","","","","","","","","","","30","19","","","9","","","","","","","","","","","4","46","","","","1","","3","","","","","4","","","","","","12","","","13","","","",""
"42","19","","","5","","","","","","","","","","","","","","52","1","50","7","1","","","","","","","","","","","29","","","","","","","","","","1","2","","","","","","","","","","","","",""
"68","20","","","2","","","","","","","","","","","","","21","296","","44","1","2","","","","","","","","","","","4","","","","","","","","","","","6","","","","","","","","","","","","",""
"108","21","","","","","","","","","","","","","","","","","4","","2","1","2","","","","","","","","","","","31","","","","","","13","","","10","1","7","","","","","","3","","","1","","","",""
"109","22","","","","","","","","2","","","","","","","","2","6","","1","9","5","","","","","","","","","","","35","","","","","","6","","","2","","1","","","","","2","17","","","","","","",""
"110","23","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","23","","","","","","","","","1","","","","","","","","12","","","","","","",""
"111","24","1","8","","68","","","45","","","2","","","","","","87","","","","","","","","","2","","","","","1","","","","","","","","","","10","2","27","20","3","","1","38","","","","","","3","","",""
"43","25","","","5","","","","","32","","","","","","","1","1","83","","68","52","3","","","","","","","","","","","4","","","","","","","","","1","","","","","","","","","","","10","","","",""
"37","26","","","6","","","","","","","","","","","","","","1","","","7","2","","","","","","","","","","","","","","","","","","","","","2","6","","","","","","","","","19","","","2",""
"38","27","","","6","","","","","1","","","","","","","","1","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","1","","2","3","18"
"24","28","","","12","","","","","","","","","","","","","","43","3","14","28","","","","","","","","","","","1","","","","","1","","","","","1","","2","","","","","","","","","14","","","",""
"79","29","","","1","","","","","3","","","","","","","","","466","","","3","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","17","","","",""
"80","30","","","1","","","","","6","","3","1","","","","","3","1","","7","8","4","","","","","","","","","","","","","","","","","","","","2","1","3","","","","","1","","","","2","","","",""
"32","31","","","9","","","","","","","","","","","","","","","","1","13","","","","","","","","","","","1","","","","","","","","","","1","","5","","","","0","1","","","","","","","",""
"57","32","","","3","","","","","14","","","","","","","","","","","2","3","1","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","1","","","",""
"81","33","","","1","","","","","","","","","","","","","","50","","13","95","","","","","","","","","","","","3","","","","","","","","","","3","9","","","","","1","","","","30","","","",""
"12","34","","","21","","","","2","186","","","","","","","","","40","","6","53","56","","","","","","","","","","","1","","","","","","","","","6","3","19","","","","","","","","","56","","","",""
"82","35","","","1","","","","2","14","","","","","","","","","34","","2","22","7","","","","","","3","","","","","","","","","","","","","","14","","19","3","","","","","","","","51","","","2",""
"112","36","","","","","","","","4","","","","","","","","","","","","4","11","","","","","","","","","","","","","","","","","","","","4","3","19","","","","","","","","","4","","","2",""
"69","37","","","2","","","","1","8","","","","","","","","","","","2","25","11","","","","","","","","","","","","","","","","1","","","1","9","6","4","","","","","","","","","25","","","2",""
"113","38","","","","","","","","","","","","","","","","","6","","1","5","","","","","","","","","","","3","","","","","10","","","","","","","","","","","","","","","","2","","","",""
"114","39","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","6","","","",""
"115","40","","","","","","","","16","","","","","","","","","","","","33","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","102"
"116","41","","","","","","","","2","","","","","","","","","","","","3","9","","","","","","","","","","","","","","","","","","","","5","10","1","","","","","","","","","11","","","1","9"
"83","42","","","1","","","","","1","","","10","","","","","","10","","","2","2","","","","","","","","","","","","","","","","","","","","","","1","","","","2","","","","","1","","","","46"
"117","43","","","","","","8","","10","","1","76","","","","","1","76","","","","","","","","","","","","","","","","","","","","","","","","","3","4","","","","3","","","","","2","","2","","152"
"118","44","","","","","","","","","","","","","","","","1","5","","8","2","","","","","","","","","","","","5","","","","","","","","","1","","","","","","2","","","","","11","","","",""
"119","45","","","","","","","","","","","","","","","","","1","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","","",""
"120","46","","","","","","","","2","","","","","","","","","29","","2","5","2","","","","","","","","","","","1","","","","","","","","","4","2","4","","","","","3","","","","18","","","",""
"58","47","","","3","","","","","10","","","","","","","","","","","1","25","6","","","","","","","","","","","","","","","","","","","","3","1","0","","","","","","","","","34","","","10","5"
"121","48","","","","","","","","5","","","","","","","","","","","4","13","12","","","","","","","","","1","","","","","","","","","","","3","3","3","","","","","","","","","13","","","4","33"
"122","49","","","","","","","","5","","","","","","","","","","","","4","13","","","","","","","","","","","","","","","","","","","","13","16","12","1","","","","","","","","5","","","5","1"
"123","50","","","","","","","","21","","","","","","","","","","","","21","6","","","","","","","","","","","","","","","","","","","1","4","1","7","","","","1","","","","","24","","","7","2"
"84","51","","","1","","","","","5","","","","","","","","","","","10","7","10","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","57","","","6",""
"49","52","","","4","","","","","14","","","","","","","","","","","10","13","31","7","","","","","","","","1","","","","","","","1","","","","2","10","4","","","","1","","","","","112","","","9","2"
"124","53","","","","","","","","17","","","","","","","","","","","","5","10","","","","","","","","","","","","","","","","","","","1","1","3","2","","","","","","","","","53","","","3",""
"125","54","","2","","","","","","35","","","","","","","","","16","","","15","29","","","","","","","","","","","","","","","","","","","","6","10","4","","","","","1","","","","71","","","",""
"126","55","","","","","","","","31","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","5","","","",""
"85","56","","5","1","","","","1","33","","","","","","","","","","","","2","4","","","","","","","","","","","","","","","","","","","1","1","1","3","","","","1","","","","","21","","","3","29"
"127","57","","","","","","","","17","","","","","","","","","","","","13","3","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","54"
"128","58","","3","","","","","","1","","","43","","","","","","43","","","1","","","","","","","","","","","","","","4","46","","","","","","2","","","","","1","","","","","","4","","1","1","70"
"18","59","","","14","","","","","19","","","","","","","","","","","","32","11","","","","","","","","","","2","","","","","","","","","","25","7","18","","","11","6","","","","","10","","","",""
"129","60","","","","","","","","","","","","","","","","","","","","7","1","","","","","","","","","","7","","","","","","","","","","4","","4","","","3","12","","","","","","","","",""
