"SampleID","FIELDID","DateSampled","CreateDate","MDEQ","WaterTempC","SeineHauls","TimeSampling","Notes"
"1","Main10","2011-08-29 00:00:00","2016-11-29 11:01:52","False","","","",""
"2","Min4","2012-05-15 00:00:00","2016-11-29 11:01:52","False","21","","",""
"3","Min5","2012-05-15 00:00:00","2016-11-29 11:01:52","False","22","","",""
"4","SEESTO","2012-05-15 00:00:00","2016-11-29 11:01:52","False","21","","",""
"5","Min2","2012-05-17 00:00:00","2016-11-29 11:01:52","False","21","","",""
"6","Min3","2012-05-17 00:00:00","2016-11-29 11:01:52","False","19","","",""
"7","Min3A","2012-05-17 00:00:00","2016-11-29 11:01:52","False","19","","",""
"8","See3","2012-05-18 00:00:00","2016-11-29 11:01:52","False","21","","",""
"9","See4","2012-05-18 00:00:00","2016-11-29 11:01:52","False","20","","",""
"10","See2","2012-05-22 00:00:00","2016-11-29 11:01:52","False","24.5","","",""
"11","Up1","2012-05-22 00:00:00","2016-11-29 11:01:52","False","18.5","","",""
"12","Up2 ","2012-05-22 00:00:00","2016-11-29 11:01:52","False","20","","",""
"13","John1","2012-05-24 00:00:00","2016-11-29 11:01:52","False","20","","",""
"14","John9","2012-05-24 00:00:00","2016-11-29 11:01:52","False","18","","",""
"15","John2","2012-05-25 00:00:00","2016-11-29 11:01:52","False","20","","",""
"16","John7","2012-05-25 00:00:00","2016-11-29 11:01:52","False","20","","",""
"17","JohnSWD","2012-05-25 00:00:00","2016-11-29 11:01:52","False","19","","",""
"18","John3","2012-05-29 00:00:00","2016-11-29 11:01:52","False","19","","",""
"19","John8 ","2012-05-29 00:00:00","2016-11-29 11:01:52","False","","","",""
"20","MR-22","2012-05-29 00:00:00","2016-11-29 11:01:52","False","","","",""
"21","John5","2012-05-31 00:00:00","2016-11-29 11:01:52","False","19","","",""
"22","John6 ","2012-05-31 00:00:00","2016-11-29 11:01:52","False","20","","",""
"23","JohnRHS","2012-05-31 00:00:00","2016-11-29 11:01:52","False","","","",""
"24","Main8","2012-06-15 00:00:00","2016-11-29 11:01:52","True","","","","MDEQ"
"25","SEEBosch","2012-06-19 00:00:00","2016-11-29 11:01:52","False","20","","",""
"26","LR-1","2012-11-23 00:00:00","2016-11-29 11:01:52","False","","","",""
"27","LR-10","2012-11-23 00:00:00","2016-11-29 11:01:52","False","","","",""
"28","Fowl1","2013-05-10 00:00:00","2016-11-29 11:01:52","False","17","","",""
"29","Fowl2","2013-05-10 00:00:00","2016-11-29 11:01:52","False","20","","",""
"30","LR-2","2013-05-10 00:00:00","2016-11-29 11:01:52","False","13","","",""
"31","Low2","2013-05-11 00:00:00","2016-11-29 11:01:52","False","13","","",""
"32","LR-8","2013-05-11 00:00:00","2016-11-29 11:01:52","False","14.5","","",""
"33","Fel1","2013-05-17 00:00:00","2016-11-29 11:01:52","False","16","","",""
"34","Fel4","2013-05-18 00:00:00","2016-11-29 11:01:52","False","17","","",""
"35","LR-5","2013-05-18 00:00:00","2016-11-29 11:01:52","False","19","","",""
"36","LR-1","2013-05-31 00:00:00","2016-11-29 11:01:52","False","21.5","","",""
"37","LR-12","2013-05-31 00:00:00","2016-11-29 11:01:52","False","21.5","","",""
"38","Fowl3","2013-06-01 00:00:00","2016-11-29 11:01:52","False","20","","",""
"39","Low3","2013-06-01 00:00:00","2016-11-29 11:01:52","False","18","","",""
"40","LR-10 ","2013-06-07 00:00:00","2016-11-29 11:01:52","False","17.5","","",""
"41","LR-6","2013-06-07 00:00:00","2016-11-29 11:01:52","False","18.5","","",""
"42","LR-11  ","2013-06-21 00:00:00","2016-11-29 11:01:52","False","21.5","","",""
"43","Main10","2013-06-21 00:00:00","2016-11-29 11:01:52","False","22","","",""
"44","Fel3","2013-06-22 00:00:00","2016-11-29 11:01:52","False","20.5","","",""
"45","Fel5","2013-06-22 00:00:00","2016-11-29 11:01:52","False","20.5","","",""
"46","Fel6","2013-06-22 00:00:00","2016-11-29 11:01:52","False","21.5","","",""
"47","Low7","2013-08-02 00:00:00","2016-11-29 11:01:52","False","20.5","","",""
"48","Low8","2013-08-02 00:00:00","2016-11-29 11:01:52","False","21","","",""
"49","Low6","2013-08-03 00:00:00","2016-11-29 11:01:52","False","21","","",""
"50","LR-1","2013-08-03 00:00:00","2016-11-29 11:01:52","False","21","","",""
"51","Low4","2013-08-09 00:00:00","2016-11-29 11:01:52","False","22.5","","",""
"52","LR-12","2013-08-09 00:00:00","2016-11-29 11:01:52","False","21.5","","",""
"53","Low5","2013-08-10 00:00:00","2016-11-29 11:01:52","False","22.5","","",""
"54","LR-5","2013-08-10 00:00:00","2016-11-29 11:01:52","False","21.5","","",""
"55","LR-2","2013-09-06 00:00:00","2016-11-29 11:01:52","False","16","","",""
"56","LR-6","2013-09-06 00:00:00","2016-11-29 11:01:52","False","19.5","","",""
"57","LR-10","2013-09-07 00:00:00","2016-11-29 11:01:52","False","19.5","","",""
"58","Main10","2013-09-07 00:00:00","2016-11-29 11:01:52","False","20.5","","",""
"59","Low2","2013-09-13 00:00:00","2016-11-29 11:01:52","False","16","","",""
"60","Low3","2013-09-13 00:00:00","2016-11-29 11:01:52","False","16","","",""
"61","LR-8","2013-09-13 00:00:00","2016-11-29 11:01:52","False","16","","",""
"62","Fel1","2013-09-14 00:00:00","2016-11-29 11:01:52","False","13","","",""
"63","Fel3","2013-09-14 00:00:00","2016-11-29 11:01:52","False","16","","",""
"64","Fowl1","2013-09-20 00:00:00","2016-11-29 11:01:52","False","20","","",""
"65","Fowl3","2013-09-20 00:00:00","2016-11-29 11:01:52","False","23","","",""
"66","Fel4","2013-09-27 00:00:00","2016-11-29 11:01:52","False","17","","",""
"67","Fel5","2013-09-27 00:00:00","2016-11-29 11:01:52","False","15.5","","",""
"68","Fel6","2013-09-27 00:00:00","2016-11-29 11:01:52","False","14","","",""
"69","Fowl2","2013-09-27 00:00:00","2016-11-29 11:01:52","False","18.5","","",""
"70","Up2 ","2013-10-10 00:00:00","2016-11-29 11:01:52","True","","","","MDEQ"
"71","Up4","2013-10-10 00:00:00","2016-11-29 11:01:52","True","","","","MDEQ"
"72","Low2","2014-05-02 00:00:00","2016-11-29 11:01:52","False","10.5","","",""
"73","Low3","2014-05-02 00:00:00","2016-11-29 11:01:52","False","11","","",""
"74","LR-8","2014-05-02 00:00:00","2016-11-29 11:01:52","False","10.5","","",""
"75","Fowl2","2014-05-03 00:00:00","2016-11-29 11:01:52","False","","","",""
"76","LR-2","2014-05-03 00:00:00","2016-11-29 11:01:52","False","14.5","","",""
"77","LR-12","2014-05-10 00:00:00","2016-11-29 11:01:52","False","17","","",""
"78","Fowl1","2014-05-16 00:00:00","2016-11-29 11:01:52","False","11.5","","",""
"79","Fowl3","2014-05-16 00:00:00","2016-11-29 11:01:52","False","14.5","","",""
"80","Fel1","2014-05-17 00:00:00","2016-11-29 11:01:52","False","","","",""
"81","Fel3","2014-05-17 00:00:00","2016-11-29 11:01:52","False","14","","",""
"82","Fel5","2014-05-20 00:00:00","2016-11-29 11:01:52","False","14.5","","",""
"83","Fel6","2014-05-20 00:00:00","2016-11-29 11:01:52","False","15.5","","",""
"84","Fel4","2014-06-13 00:00:00","2016-11-29 11:01:52","False","19.5","","",""
"85","LR-5","2014-06-13 00:00:00","2016-11-29 11:01:52","False","20","","",""
"86","LR-1","2014-06-14 00:00:00","2016-11-29 11:01:52","False","","","",""
"87","LR-6","2014-06-14 00:00:00","2016-11-29 11:01:52","False","","","",""
"88","LR-10 ","2014-06-27 00:00:00","2016-11-29 11:01:52","False","19","","",""
"89","LR-11A  ","2014-06-27 00:00:00","2016-11-29 11:01:52","False","20","","",""
"90","LR-12","2014-07-11 00:00:00","2016-11-29 11:01:52","False","20","","",""
"91","Main10","2014-07-21 00:00:00","2016-11-29 11:01:52","False","","","",""
"92","Low8","2014-08-01 00:00:00","2016-11-29 11:01:52","False","22","","",""
"93","LR-6","2014-08-01 00:00:00","2016-11-29 11:01:52","False","20","","",""
"94","Low6","2014-08-02 00:00:00","2016-11-29 11:01:52","False","19","","",""
"95","Low7","2014-08-02 00:00:00","2016-11-29 11:01:52","False","20","","",""
"96","Low5","2014-08-08 00:00:00","2016-11-29 11:01:52","False","21","","",""
"97","LR-1","2014-08-08 00:00:00","2016-11-29 11:01:52","False","19.5","","",""
"98","Low4","2014-08-09 00:00:00","2016-11-29 11:01:52","False","22","","",""
"99","LR-12","2014-08-09 00:00:00","2016-11-29 11:01:52","False","20","","",""
"100","Fowl2","2014-08-22 00:00:00","2016-11-29 11:01:52","False","22","","",""
"101","LR-2","2014-08-22 00:00:00","2016-11-29 11:01:52","False","23","","",""
"102","LR-5","2014-08-22 00:00:00","2016-11-29 11:01:52","False","21","","",""
"103","Low2","2014-08-23 00:00:00","2016-11-29 11:01:52","False","21","","",""
"104","Low3","2014-08-23 00:00:00","2016-11-29 11:01:52","False","19","","",""
"105","Low8","2014-08-23 00:00:00","2016-11-29 11:01:52","False","22","","",""
"106","Fowl3","2014-09-05 00:00:00","2016-11-29 11:01:52","False","20","","",""
"107","Fowl1","2014-09-05 00:00:00","2016-11-29 11:01:52","False","20","","",""
"108","LR-8","2014-09-05 00:00:00","2016-11-29 11:01:52","False","24","","",""
"109","Fel1","2014-09-06 00:00:00","2016-11-29 11:01:52","False","15","","",""
"110","Fel3","2014-09-06 00:00:00","2016-11-29 11:01:52","False","19","","",""
"111","Fel5","2014-09-06 00:00:00","2016-11-29 11:01:52","False","19","","",""
"112","Fel4","2014-09-19 00:00:00","2016-11-29 11:01:52","False","12","","",""
"113","Fel6","2014-09-19 00:00:00","2016-11-29 11:01:52","False","19","","",""
"114","LR-10 ","2014-09-20 00:00:00","2016-11-29 11:01:52","False","15","","",""
"115","LR-11A  ","2014-09-20 00:00:00","2016-11-29 11:01:52","False","20","","",""
"116","Main10","2014-09-26 00:00:00","2016-11-29 11:01:52","False","17","","",""
"117","MR-11","2014-09-26 00:00:00","2016-11-29 11:01:52","False","16","","",""
"118","MR-13","2014-09-26 00:00:00","2016-11-29 11:01:52","False","17","","",""
"119","MR-4","2014-09-26 00:00:00","2016-11-29 11:01:52","False","13","","",""
"120","Mid4","2014-10-10 00:00:00","2016-11-29 11:01:52","False","11","","",""
"121","LR-10","2015-05-01 00:00:00","2016-11-29 11:01:52","False","11.5","","",""
"122","LR-11A  ","2015-05-01 00:00:00","2016-11-29 11:01:52","False","12","","",""
"123","Low7","2015-05-07 00:00:00","2016-11-29 11:01:52","False","15","","",""
"124","Low5","2015-05-15 00:00:00","2016-11-29 11:01:52","False","14","","",""
"125","LR-1","2015-05-15 00:00:00","2016-11-29 11:01:52","False","14","","",""
"126","LR-5","2015-05-15 00:00:00","2016-11-29 11:01:52","False","14","","",""
"127","Low8","2015-05-16 00:00:00","2016-11-29 11:01:52","False","16","","",""
"128","Low4","2015-05-29 00:00:00","2016-11-29 11:01:52","False","22","","",""
"129","Low6","2015-05-29 00:00:00","2016-11-29 11:01:52","False","19","","",""
"130","LR-12","2015-05-29 00:00:00","2016-11-29 11:01:52","False","18.5","","",""
"131","Low10","2015-06-10 00:00:00","2016-11-29 11:01:52","False","18","","",""
"132","MR-11","2016-06-17 00:00:00","2016-11-29 11:01:52","False","20","","",""
"133","MR-20","2015-06-19 00:00:00","2016-11-29 11:01:52","False","19.5","","",""
"134","MR-11","2015-07-10 00:00:00","2016-11-29 11:01:52","False","19","","",""
"135","MR-13","2015-07-10 00:00:00","2016-11-29 11:01:52","False","","","",""
"136","MR-4","2015-07-10 00:00:00","2016-11-29 11:01:52","False","20","","",""
"137","MR-16","2015-07-11 00:00:00","2016-11-29 11:01:52","False","","","",""
"138","MR-17","2015-07-11 00:00:00","2016-11-29 11:01:52","False","20","","",""
"139","MR-18","2015-07-11 00:00:00","2016-11-29 11:01:52","False","19.5","","",""
"140","Low7","2015-08-01 00:00:00","2016-11-29 11:01:52","False","20","","",""
"141","Low8","2015-08-01 00:00:00","2016-11-29 11:01:52","False","20","","",""
"142","Low6","2015-08-07 00:00:00","2016-11-29 11:01:52","False","19","","",""
"143","LR-1","2015-08-07 00:00:00","2016-11-29 11:01:52","False","19","","",""
"144","Low5","2015-08-14 00:00:00","2016-11-29 11:01:52","False","21","","",""
"145","LR-12","2015-08-14 00:00:00","2016-11-29 11:01:52","False","21","","",""
"146","LR-5","2015-08-14 00:00:00","2016-11-29 11:01:52","False","23","","",""
"147","Low10","2015-08-15 00:00:00","2016-11-29 11:01:52","False","21","","",""
"148","Low4","2015-08-15 00:00:00","2016-11-29 11:01:52","False","14","","",""
"149","Frank1","2015-08-18 00:00:00","2016-11-29 11:01:52","False","17","","",""
"150","Frank2","2015-08-18 00:00:00","2016-11-29 11:01:52","False","15","","",""
"151","LR-10","2015-08-22 00:00:00","2016-11-29 11:01:52","False","19","","",""
