"PrimaryID","MICorpsID","BenTaxaID","Native?","FinalID","Common Name","Present in Rouge","Sensitive Family","Sensit Grp","Phylum","Class","Order","Suborder","Family","Genus","Species","ITIS_taxon_author_id","ITIS_usage","DEP_taxa_Code","Wh_Phylogentic_Code","Genus Species","level DEP id's to","DEP_HILS_ID","Dep_FEED_ID","PCORD_Codes_Rev","BentaxaID_autonum","GenDescrip","TaxonomyValid2_05","Intolerant","FishBug","Tolerant"
"231","","","True","Aplodinotus grunniens","Freshwater drum","True","False","","Chordata","Actinopterygii","Perciformes","","Sciaenidae","Aplodinotus","grunniens","","","","","","","","","","","","","False","","True"
"232","","","True","Lampetra appendix","American brook lamprey","True","False","","Chordata","Cephalaspidomorphi","Petromyzontiformes","","Petromyzontidae","Lampetra","appendix","","","","","","","","","","","","","True","","False"
"233","","","True","Pomoxis annularis","White crappie","True","False","","Chordata","Actinopterygii","Perciformes","","Centrarchidae","Pomoxis","annularis","","","","","","","","","","","","","False","","False"
"235","","","True","Notropis anogenus","Pugnose shiner","True","True","","Chordata","Actinopterygii","Cypriniformes","","Cyprinidae","Notropis","anogenus","","","","","","","","","","","","","True","","False"
"236","","","False","Gasterosteus aculeatus","Threespine stickleback","True","False","","Chordata","Actinopterygii","Gasterosteiformes","","Gasterosteidae","Gasterosteus","aculeatus","","","","","","","","","","","","","False","","False"
"237","","","True","Moxostoma duquesnei","Black redhorse","True","False","","","","","","","Moxostoma","duquesnei","","","","","","","","","","","","","False","","False"
"238","","","True","Moxostoma macrolepidotum","Shorhead redhorse","True","False","","","","","","","Moxostoma","macrolepidotum","","","","","","","","","","","","","False","","False"
"162","","","True","Dorosoma cepedianum","Gizzard shad","True","False","","Chordata","Actinopterygii","Clupeiformes","","Clupeidae","Dorosoma","cepedianum","","","","","","","","","","","","","False","","False"
"234","","","True","Notorus gyrinus","Tadpole madtom","True","False","","Chordata","Actinopterygii","Siluriformes","","Ictaluridae","Noturus","gyrinus","","","","","","","","","","","","","False","","False"
"211","","","True","Etheostoma  microperca","Least darter","True","True","","Chordata","Actinopterygii","Perciformes","","Percidae","Etheostoma","microperca","","","","","","","","","","","","","True","","False"
"212","","","True","Etheostoma nigrum","Johnny darter","True","False","","Chordata","Actinopterygii","Perciformes","","Percidae","Etheostoma","nigrum","","","","","","","","","","","","","False","","True"
"213","","","True","Percina caprodes","Northern logperch","True","True","","Chordata","Actinopterygii","Perciformes","","Percidae","Percina","caprodes","","","","","","","","","","","","","False","","False"
"214","","","True","Percina maculata","Blackside darter","True","False","","Chordata","Actinopterygii","Perciformes","","Percidae","Percina","maculata","","","","","","","","","","","","","False","","False"
"215","","","False","Neogobius melanostomus","Round goby","True","False","","Chordata","Actinopterygii","Perciformes","","Gobiidae","Neogobius","melanostomus","","","","","","","","","","","","","False","","True"
"159","","","True","Amia calva","Bowfin","True","False","","Chordata","Actinopterygii","Amiiformes","","Amiidae","Amia","calva","","","","","","","","","","","","","False","","True"
"163","","","True","Campostoma anomalum","Central stoneroller","True","False","","Chordata","Actinopterygii","Cypriniformes","","Cyprinidae","Campostoma","anomalum","","","","","","","","","","","","","False","","False"
"164","","","False","Carassius auratus","Goldfish","True","False","","Chordata","Actinopterygii","Cypriniformes","","Cyprinidae","Carassius","auratus","","","","","","","","","","","","","False","","True"
"165","","","True","Clinostomus elongatus","Redside dace","True","True","","Chordata","Actinopterygii","Cypriniformes","","Cyprinidae","Clinostomus","elongatus","","","","","","","","","","","","","True","","False"
"174","","","True","Notropis hudsonius","Spottail shiner","True","False","","Chordata","Actinopterygii","Cypriniformes","","Cyprinidae","Notropis","hudsonius","","","","","","","","","","","","","True","","False"
"166","","","True","Cyprinella spiloptera","Spotfin shiner","True","False","","Chordata","Actinopterygii","Cypriniformes","","Cyprinidae","Cyprinella","spiloptera","","","","","","","","","","","","","False","","False"
"167","","","False","Cyprinus carpio","Common carp","True","False","","Chordata","Actinopterygii","Cypriniformes","","Cyprinidae","Cyprinus","carpio","","","","","","","","","","","","","False","","True"
"168","","","True","Luxilus cornutus","Common shiner","True","False","","Chordata","Actinopterygii","Cypriniformes","","Cyprinidae","Luxilus","cornutus","","","","","","","","","","","","","False","","False"
"175","","","True","Notropis volucellus","Mimic shiner","True","False","","Chordata","Actinopterygii","Cypriniformes","","Cyprinidae","Notropis","volucellus","","","","","","","","","","","","","False","","False"
"176","","","True","Pimephales notatus","Bluntnose minnow","True","False","","Chordata","Actinopterygii","Cypriniformes","","Cyprinidae","Pimephales","notatus","","","","","","","","","","","","","False","","True"
"177","","","True","Pimephales promelas","Fathead minnow","True","False","","Chordata","Actinopterygii","Cypriniformes","","Cyprinidae","Pimephales","promelas","","","","","","","","","","","","","False","","True"
"178","","","True","Phoximus eos","Northern redbelly dace","True","False","","Chordata","Actinopterygii","Cypriniformes","","Cyprinidae","Phoximus","eos","","","","","","","","","","","","","False","","False"
"179","","","True","Rhinichthys obtusus","Blacknose dace","True","False","","Chordata","Actinopterygii","Cypriniformes","","Cyprinidae","Rhinichthys","obtusus","","","","","","","","","","","","","False","","True"
