"Error","Field","Row"
"Type Conversion Failure","DateSampled","6142"
"Type Conversion Failure","DateSampled","6143"
"Type Conversion Failure","DateSampled","6144"
"Type Conversion Failure","DateSampled","6145"
"Type Conversion Failure","DateSampled","6146"
"Type Conversion Failure","DateSampled","6147"
"Type Conversion Failure","DateSampled","6148"
"Type Conversion Failure","DateSampled","6149"
"Type Conversion Failure","DateSampled","6150"
"Type Conversion Failure","DateSampled","6151"
"Type Conversion Failure","DateSampled","6152"
