"SampleID","FIELDID","DateSampled","Primary ID","Length in cm","Quantity"
"125","LR-1","2015-05-15 00:00:00","226","","1"
"125","LR-1","2015-05-15 00:00:00","214","","14"
"125","LR-1","2015-05-15 00:00:00","215","","1"
"126","LR-5","2015-05-15 00:00:00","168","","4"
"126","LR-5","2015-05-15 00:00:00","177","","14"
"126","LR-5","2015-05-15 00:00:00","180","","13"
"126","LR-5","2015-05-15 00:00:00","181","","16"
"126","LR-5","2015-05-15 00:00:00","203","","3"
"126","LR-5","2015-05-15 00:00:00","212","","25"
"127","Low8","2015-05-16 00:00:00","168","","3"
"127","Low8","2015-05-16 00:00:00","177","","20"
"127","Low8","2015-05-16 00:00:00","179","","1"
"127","Low8","2015-05-16 00:00:00","180","","11"
"127","Low8","2015-05-16 00:00:00","181","","4"
"127","Low8","2015-05-16 00:00:00","196","","1"
"127","Low8","2015-05-16 00:00:00","203","","7"
"127","Low8","2015-05-16 00:00:00","212","","1"
"127","Low8","2015-05-16 00:00:00","215","","73"
"128","Low4","2015-05-29 00:00:00","163","","10"
"128","Low4","2015-05-29 00:00:00","168","","9"
"128","Low4","2015-05-29 00:00:00","177","","21"
"128","Low4","2015-05-29 00:00:00","179","","14"
"128","Low4","2015-05-29 00:00:00","180","","9"
"128","Low4","2015-05-29 00:00:00","181","","16"
"128","Low4","2015-05-29 00:00:00","182","","1"
"128","Low4","2015-05-29 00:00:00","197","","5"
"128","Low4","2015-05-29 00:00:00","201","","3"
"128","Low4","2015-05-29 00:00:00","202","","2"
"128","Low4","2015-05-29 00:00:00","203","","14"
"128","Low4","2015-05-29 00:00:00","212","","37"
"128","Low4","2015-05-29 00:00:00","226","","1"
"128","Low4","2015-05-29 00:00:00","214","","4"
"128","Low4","2015-05-29 00:00:00","215","","1"
"129","Low6","2015-05-29 00:00:00","167","","1"
"129","Low6","2015-05-29 00:00:00","168","","1"
"129","Low6","2015-05-29 00:00:00","177","","9"
"129","Low6","2015-05-29 00:00:00","180","","3"
"129","Low6","2015-05-29 00:00:00","181","","9"
"129","Low6","2015-05-29 00:00:00","202","","4"
"129","Low6","2015-05-29 00:00:00","203","","1"
"129","Low6","2015-05-29 00:00:00","205","","1"
"129","Low6","2015-05-29 00:00:00","208","","1"
"129","Low6","2015-05-29 00:00:00","212","","3"
"129","Low6","2015-05-29 00:00:00","214","","5"
"129","Low6","2015-05-29 00:00:00","215","","2"
"130","LR-12","2015-05-29 00:00:00","163","","4"
"130","LR-12","2015-05-29 00:00:00","168","","9"
"130","LR-12","2015-05-29 00:00:00","177","","26"
"130","LR-12","2015-05-29 00:00:00","179","","12"
"130","LR-12","2015-05-29 00:00:00","180","","11"
"130","LR-12","2015-05-29 00:00:00","181","","8"
"130","LR-12","2015-05-29 00:00:00","182","","1"
"130","LR-12","2015-05-29 00:00:00","191","","4"
"130","LR-12","2015-05-29 00:00:00","196","","1"
"130","LR-12","2015-05-29 00:00:00","201","","3"
"130","LR-12","2015-05-29 00:00:00","203","","5"
"130","LR-12","2015-05-29 00:00:00","205","","1"
"130","LR-12","2015-05-29 00:00:00","212","","17"
"130","LR-12","2015-05-29 00:00:00","214","","8"
"130","LR-12","2015-05-29 00:00:00","215","","6"
"131","Low10","2015-06-10 00:00:00","163","","1"
"131","Low10","2015-06-10 00:00:00","168","","2"
