"PrimaryID","FishName","Length in cm","Quantity","SampleID"
"90","212","","16","90"
"90","214","","2","90"
"91","166","","2","91"
"91","171","","14","91"
"91","177","","14","91"
"91","202","","1","91"
"91","203","","1","91"
"91","207","","1","91"
"91","212","","1","91"
"91","214","","1","91"
"91","215","","110","91"
"92","179","","1","92"
"92","180","","4","92"
"92","181","","18","92"
"92","203","","1","92"
"92","212","","7","92"
"92","214","","3","92"
"92","215","","45","92"
"93","168","","8","93"
"93","180","","5","93"
"93","181","","5","93"
"93","201","","2","93"
"93","203","","1","93"
"93","207","","3","93"
"93","212","","17","93"
"93","214","","1","93"
"93","215","","18","93"
"94","163","","1","94"
"94","168","","6","94"
"94","180","","3","94"
"94","181","","12","94"
"94","202","","1","94"
"94","203","","1","94"
"94","212","","4","94"
"94","214","","2","94"
"94","215","","6","94"
"95","163","","1","95"
"95","168","","8","95"
"95","180","","5","95"
"95","181","","18","95"
"95","202","","1","95"
"95","207","","2","95"
"95","212","","3","95"
"95","214","","1","95"
"95","215","","17","95"
"96","168","","8","96"
"96","180","","2","96"
"96","181","","28","96"
"96","201","","2","96"
"96","203","","3","96"
"96","205","","1","96"
"96","212","","21","96"
"96","214","","2","96"
"96","215","","1","96"
"97","163","","4","97"
"97","168","","12","97"
"97","180","","3","97"
"97","181","","10","97"
"97","201","","1","97"
"97","202","","2","97"
"97","212","","25","97"
"97","214","","1","97"
"97","215","","3","97"
"98","163","","4","98"
"98","168","","2","98"
"98","179","","6","98"
"98","180","","18","98"
"98","181","","21","98"
"98","182","","2","98"
"98","191","","1","98"
"98","201","","1","98"
"98","203","","1","98"
"98","205","","1","98"
"98","212","","7","98"
"99","163","","2","99"
"99","167","","1","99"
"99","168","","5","99"
"99","180","","3","99"
"99","181","","10","99"
"99","201","","1","99"
"99","202","","1","99"
"99","203","","1","99"
"99","207","","2","99"
"99","212","","15","99"
"100","162","","2","100"
"100","163","","1","100"
"100","168","","1","100"
"100","177","","2","100"
"100","180","","9","100"
"100","181","","13","100"
"100","191","","2","100"
"100","201","","3","100"
"100","202","","3","100"
"100","207","","3","100"
"100","208","","2","100"
"100","212","","36","100"
"100","214","","3","100"
"101","162","","8","101"
"101","168","","8","101"
"101","180","","3","101"
"101","181","","1","101"
"101","197","","1","101"
"101","201","","6","101"
"101","203","","4","101"
"101","212","","3","101"
"102","162","","1","102"
"102","168","","4","102"
"102","177","","5","102"
"102","180","","5","102"
"102","181","","46","102"
"102","201","","5","102"
"102","202","","1","102"
"102","203","","4","102"
"102","208","","3","102"
"102","212","","138","102"
"102","214","","5","102"
"103","163","","96","103"
"103","168","","46","103"
"103","179","","1","103"
"103","180","","177","103"
"103","181","","44","103"
"103","191","","5","103"
"103","201","","38","103"
"103","202","","6","103"
"103","203","","3","103"
"103","205","","1","103"
"103","207","","6","103"
"103","212","","8","103"
"104","180","","15","104"
"104","191","","18","104"
"104","196","","2","104"
"104","203","","6","104"
"104","212","","17","104"
"105","163","","0","105"
"105","168","","4","105"
"105","171","","2","105"
"105","177","","2","105"
"105","180","","1","105"
"105","181","","8","105"
"105","201","","1","105"
"105","203","","1","105"
"105","207","","1","105"
"105","212","","2","105"
"105","215","","28","105"
"106","163","","3","106"
"106","177","","17","106"
"106","178","","6","106"
"106","180","","17","106"
"106","181","","7","106"
"106","191","","60","106"
"106","196","","92","106"
"106","203","","1","106"
"106","212","","51","106"
"107","163","","7","107"
"107","177","","11","107"
"107","178","","38","107"
"107","179","","2","107"
"107","180","","38","107"
"107","181","","1","107"
"107","191","","32","107"
"107","196","","4","107"
"107","201","","12","107"
"107","203","","2","107"
"107","207","","1","107"
"107","212","","8","107"
"108","163","","19","108"
"108","168","","39","108"
"108","179","","6","108"
"108","180","","62","108"
"108","181","","27","108"
"108","199","","1","108"
"108","201","","4","108"
"108","203","","2","108"
"108","205","","2","108"
"108","207","","13","108"
"108","212","","39","108"
"109","177","","12","109"
"109","179","","20","109"
"109","180","","43","109"
"109","191","","1","109"
"109","192","","16","109"
"109","203","","1","109"
"109","212","","31","109"
"110","163","","1","110"
"110","177","","9","110"
"110","179","","12","110"
"110","180","","11","110"
"110","181","","1","110"
"110","191","","2","110"
"110","192","","21","110"
"110","203","","4","110"
"110","207","","2","110"
"110","212","","25","110"
"111","177","","3","111"
"111","179","","10","111"
"111","180","","7","111"
"111","192","","7","111"
"111","207","","1","111"
"111","212","","28","111"
"112","163","","1","112"
"112","168","","55","112"
"112","177","","11","112"
"112","179","","3","112"
"112","180","","11","112"
"112","201","","8","112"
"112","203","","1","112"
"112","212","","17","112"
"113","168","","10","113"
"113","177","","13","113"
"113","179","","19","113"
"113","180","","12","113"
"113","181","","2","113"
"113","192","","12","113"
"113","203","","6","113"
"113","207","","2","113"
"113","208","","1","113"
"113","212","","18","113"
"114","168","","7","114"
"114","180","","17","114"
"114","181","","1","114"
"114","212","","4","114"
"114","214","","3","114"
"114","215","","9","114"
"115","168","","3","115"
"115","171","","12","115"
"115","177","","12","115"
"115","181","","3","115"
"115","194","","11","115"
"115","202","","1","115"
"115","206","","1","115"
"115","212","","8","115"
"115","214","","2","115"
"115","215","","32","115"
"116","170","","1","116"
"116","171","","34","116"
"116","176","","1","116"
"116","177","","34","116"
"116","195","","79","116"
"116","200","","6","116"
"116","203","","2","116"
"116","206","","3","116"
"116","208","","1","116"
"116","226","","1","116"
"116","214","","1","116"
"116","215","","422","116"
"117","166","","12","117"
"117","176","","4","117"
"117","203","","1","117"
"117","212","","17","117"
"117","215","","1","117"
"118","163","","2","118"
"118","168","","11","118"
"118","176","","13","118"
"118","177","","1","118"
"118","180","","14","118"
"118","212","","8","118"
"119","166","","18","119"
"119","176","","57","119"
"119","181","","4","119"
"119","200","","1","119"
"119","207","","2","119"
"119","212","","1","119"
"119","215","","30","119"
"120","176","","15","120"
"120","202","","1","120"
"120","203","","32","120"
"120","205","","1","120"
"120","207","","1","120"
"121","163","","4","121"
"121","168","","1","121"
"121","177","","15","121"
"121","179","","2","121"
"121","180","","9","121"
"121","181","","3","121"
"121","200","","1","121"
"121","203","","2","121"
"121","212","","1","121"
"121","214","","1","121"
"121","215","","5","121"
"122","164","","1","122"
"122","168","","14","122"
"122","171","","281","122"
"122","173","","1","122"
"122","174","","3","122"
"122","176","","8","122"
"122","177","","15","122"
"122","181","","2","122"
"122","212","","1","122"
"122","226","","2","122"
"122","213","","1","122"
"122","214","","1","122"
"122","215","","23","122"
"123","163","","1","123"
"123","168","","15","123"
"123","177","","26","123"
"123","179","","1","123"
"123","180","","5","123"
"123","181","","13","123"
"123","201","","2","123"
"123","203","","1","123"
"123","212","","2","123"
"123","226","","2","123"
"123","213","","1","123"
"123","214","","1","123"
"123","215","","28","123"
"124","168","","1","124"
"124","177","","7","124"
"124","180","","14","124"
"124","181","","6","124"
"124","201","","1","124"
"124","202","","3","124"
"124","203","","9","124"
"124","212","","25","124"
"124","214","","1","124"
"125","168","","3","125"
"125","177","","20","125"
"125","180","","14","125"
"125","181","","7","125"
"125","201","","2","125"
"125","202","","2","125"
"125","203","","14","125"
"125","212","","25","125"
"125","226","","1","125"
"125","214","","14","125"
"125","215","","1","125"
"126","168","","4","126"
"126","177","","14","126"
"126","180","","13","126"
"126","181","","16","126"
"126","203","","3","126"
"126","212","","25","126"
"127","168","","3","127"
"127","177","","20","127"
"127","179","","1","127"
"127","180","","11","127"
"127","181","","4","127"
"127","196","","1","127"
"127","203","","7","127"
"127","212","","1","127"
"127","215","","73","127"
"128","163","","10","128"
"128","168","","9","128"
"128","177","","21","128"
"128","179","","14","128"
"128","180","","9","128"
"128","181","","16","128"
"128","182","","1","128"
"128","197","","5","128"
"128","201","","3","128"
"128","202","","2","128"
"128","203","","14","128"
"128","212","","37","128"
"128","226","","1","128"
"128","214","","4","128"
"128","215","","1","128"
"129","167","","1","129"
"129","168","","1","129"
"129","177","","9","129"
"129","180","","3","129"
"129","181","","9","129"
"129","202","","4","129"
"129","203","","1","129"
"129","205","","1","129"
"129","208","","1","129"
"129","212","","3","129"
"129","214","","5","129"
"129","215","","2","129"
"130","163","","4","130"
"130","168","","9","130"
"130","177","","26","130"
"130","179","","12","130"
"130","180","","11","130"
"130","181","","8","130"
"130","182","","1","130"
"130","191","","4","130"
"130","196","","1","130"
"130","201","","3","130"
"130","203","","5","130"
"130","205","","1","130"
"130","212","","17","130"
"130","214","","8","130"
"130","215","","6","130"
"131","163","","1","131"
"131","168","","2","131"
"131","177","","2","131"
"131","179","","2","131"
"131","180","","14","131"
"131","181","","12","131"
"131","197","","1","131"
"131","201","","3","131"
"131","202","","1","131"
"131","203","","4","131"
"131","205","","2","131"
"131","212","","12","131"
"131","214","","1","131"
"132","168","","2","132"
"132","176","","2","132"
"132","181","","22","132"
"132","190","","1","132"
"132","200","","1","132"
"132","203","","4","132"
"132","212","","43","132"
"132","215","","78","132"
"133","163","","5","133"
"133","168","","56","133"
"133","176","","2","133"
"133","180","","11","133"
"133","181","","27","133"
"133","192","","4","133"
"133","197","","1","133"
"133","200","","7","133"
"133","203","","2","133"
"133","206","","2","133"
"133","209","","50","133"
"133","212","","1","133"
"134","166","","1","134"
"134","176","","1","134"
"134","181","","2","134"
"134","212","","47","134"
"134","214","","9","134"
"134","215","","6","134"
"135","167","","1","135"
"135","168","","3","135"
"135","177","","9","135"
"135","180","","1","135"
"135","181","","4","135"
"135","203","","1","135"
"135","207","","1","135"
"135","212","","2","135"
"136","166","","15","136"
"136","168","","1","136"
"136","176","","17","136"
"136","181","","4","136"
"136","186","","4","136"
"136","203","","1","136"
"136","212","","1","136"
"136","215","","75","136"
"137","168","","1","137"
"137","181","","3","137"
"137","203","","1","137"
"137","212","","8","137"
"138","177","","39","138"
"138","181","","29","138"
"138","197","","2","138"
"138","200","","1","138"
"138","203","","1","138"
"138","205","","1","138"
"138","206","","1","138"
"138","207","","3","138"
"138","209","","11","138"
"138","212","","51","138"
"139","166","","7","139"
"139","168","","15","139"
"139","176","","8","139"
"139","177","","90","139"
"139","181","","5","139"
"139","190","","1","139"
"139","197","","1","139"
"139","201","","1","139"
"139","206","","9","139"
"139","207","","6","139"
"139","208","","1","139"
"139","209","","15","139"
"139","212","","6","139"
"140","168","","3","140"
"140","177","","43","140"
"140","180","","2","140"
"140","181","","18","140"
"140","191","","5","140"
"140","203","","10","140"
"140","212","","4","140"
"140","215","","41","140"
"141","163","","6","141"
"141","168","","4","141"
"141","177","","105","141"
"141","179","","2","141"
"141","180","","6","141"
"141","181","","38","141"
"141","203","","2","141"
"141","212","","1","141"
"141","215","","26","141"
"142","177","","51","142"
"142","180","","5","142"
"142","181","","48","142"
"142","191","","1","142"
"142","201","","12","142"
"142","202","","4","142"
"142","203","","9","142"
"142","207","","1","142"
"142","212","","42","142"
"142","214","","12","142"
"142","215","","11","142"
"143","168","","9","143"
"143","177","","21","143"
"143","180","","10","143"
"143","181","","17","143"
"143","201","","10","143"
"143","203","","3","143"
"143","207","","1","143"
"143","212","","38","143"
"143","214","","14","143"
"143","215","","12","143"
"144","168","","3","144"
"144","177","","27","144"
"144","180","","6","144"
"144","181","","3","144"
"144","191","","1","144"
"144","201","","5","144"
"144","202","","3","144"
"144","207","","2","144"
"144","212","","11","144"
"144","214","","1","144"
"144","215","","2","144"
"145","163","","4","145"
