"FIELDID","ID","Branch","StreamName","SiteDescription","SamplingRoads","SamplingLocation","County","Latitude","Longitude","ORG","Active","Goby Study","Lake?","Contact"
"Bell1","1","Upper","Bell Branch","Bicentennial Park","7 Mile/Newburgh Rd","Upstream","Wayne","42.42924","-83.39666","FOTR","True","False","False",""
"Bell2","2","Upper","Bell Branch","Schoolcraft College","6 Mile/Haggerty","Upstream","Wayne","42.4151185","-83.429007","FOTR","True","False","False",""
"Bell3","3","Upper","Bell Branch","Livonia 6 Mile","6 Mile/Farmington","Downstream","Wayne","42.41015","-83.39285","FOTR","True","False","False",""
"Bell4","166","Upper","Bell Branch","Hubbard Drive","Five Mile/Merriman","Upstream","Wayne","42.40327","-83.36237","FOTR","False","False","False",""
"Bish2","33","Middle","Bishop Creek","Bishop Scarborough","10 Mile/Meadowbrook ","Upstream","Oakland","42.47131","-83.45151","FOTR","True","False","False",""
"CL","182","Middle","Curtis Lake","Silver Spring Drive","7 Mile Rd","No Road","Wayne","42.434131","-83.462669","","True","False","True",""
"DNRNFel","168","Lower","Fellows Creek","N Fellows","Canton Center","Upstream","Wayne","42.32336","-83.48854","DNR","False","False","False",""
"Evan1","131","Main","Evans Creek","Evans Green Spruce","12 Mile/Evergreen","Upstream","Oakland","42.504517","-83.233603","FOTR","True","False","False",""
"Evan2","136","Main","Evans Creek","LTU","10 Mile/Northwestern","Upstream","Oakland","42.474374","-83.246909","FOTR","True","False","False",""
"Evan3","186","Main","Evans Creek","Latter Day Saints","9 Mile & Berg","Upstream","Oakland","42.459278","-83.268639","FOTR","False","False","False",""
"Evan4","195","Main","Evans Creek","Berg Road","23000 Eight Mile Road, Southfield 48033","Upstream","Oakland","42.443871","-83.269766","","False","False","False",""
"Evan5","199","Main","Evans Creek","Lahser at credit union","24333 Lahser Rd, Southfield, MI 48033","Up and Downstream","Oakland","42.46792","-83.26124","","False","False","False",""
"Fel1","74","Lower","Fellows Creek","Top of Hill Ct","Napier/Powell","Downstream","Wayne","42.35729","-83.53988","FOTR","True","False","False",""
"Fel2","75","Lower","Fellows Creek","Vintage Valley","Ford/Ridge","Downstream","Wayne","42.31932","-83.5246","FOTR","True","False","False",""
"Fel3","121","Lower","Fellows Creek","Ann Arbor Rd","at Joy Road","Downstream","Wayne","42.349854","-83.540557","FOTR","False","False","False",""
"Fel4","76","Lower","Fellows Creek","Flodin Pk","Saltz Rd/Sheldon","Downstream","Wayne","42.31346","-83.46471","FOTR","True","False","False",""
"Fel5","122","Lower","Fellows Creek","Warren Ridge","between Napier and Ridge","Upstream","Wayne","42.335263","-83.539831","FOTR","True","False","False",""
"Fel6","123","Lower","Fellows Creek","Hanford","west of Ridge","Upstream","Wayne","42.328188","-83.532192","FOTR","True","False","False",""
"Fel7","173","Lower","Fellows Creek","Napier Court","Napier/Ann Arbor Rd","Upstream","Washtenaw","42.3462","-83.54797","","False","False","False",""
