Observationyear,Wood Frog Sites,Chorus Frog Sites,Spring Peeper Sites,American Toad Sites,Leopard Frog Sites,Gray Tree Frog Sites,Green Frog Sites,Bull Frog Sites
1998,51,120,126,84,6,29,10,1.0
1999,67,136,139,113,9,77,60,4.0
2000,24,89,82,81,9,65,26,0.0
2001,38,111,104,129,15,64,63,12.0
2002,38,94,101,130,16,60,65,10.0
2003,46,95,94,113,27,61,69,19.0
2004,49,120,112,120,24,85,91,24.0
2005,65,130,130,161,41,106,115,24.0
2006,30,72,83,119,19,73,98,16.0
2007,46,88,94,135,31,90,97,25.0
2008,37,75,89,147,27,82,114,33.0
2009,47,83,85,158,26,98,121,22.0
2010,47,79,80,140,31,98,111,26.0
2011,48,77,96,150,37,109,118,26.0
2012,45,84,87,132,32,87,95,26.0
2013,39,92,81,129,29,86,102,30.0
2014,48,89,78,154,29,79,62,13.0
2015,21,45,35,88,10,58,62,14.0
2016,33,57,57,101,15,72,70,16.0
2017,33,68,67,120,27,87,89,28.0
2018,37,74,77,118,20,85,84,29.0
2019,23,65,52,103,22,62,76,26.0
2020,23,75,66,120,23,84,81,28.0
2021,25,58,56,108,18,82,85,25.0
2022,24,52,48,105,13,80,77,21.0
