FIELDID,Latitude,Longitude,STONEFLIES PRESENT?,ST23,ST22,ST21,ST20,ST19,ST18,ST17,ST16,ST15,ST14,ST13,ST12,ST10,ST08,ST07,ST06,ST05,ST04,ST03,ST02
Bell2,42.4151185,-83.429007,N,N,N,N,,N,N,N,N,N,N,N,N,N,,,,,N,,
Fel1,42.35729,-83.53988,Y,N,N,N,N,N,N,N,N,,,N,N,N,N,Y,N,,Y,N,Y
MR-14,42.3601432,-83.4763746,N,N,N,,,,,,,,,N,,N,,,,,,,
MR-17,42.370466,-83.437574,N,,,,,,,,,,,,,N,,,,,,,
MR-2a,42.4089,-83.4704,Y,,,,N,N,N,Y,N,N,,N,N,N,N,,,,,,
Ton1,42.36701,-83.49895,Y,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,Y,,
Ton1/2,42.3642907,-83.489154,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,,,
Ton2,42.35809,-83.46507,Y,,,,,,,,,,N,N,,N,N,N,,,N,N,Y
Up2,42.4632161,-83.3682334,Y,,N,Y,,N,N,,N,N,N,N,N,N,N,N,N,N,N,Y,N
Fel2,42.31932,-83.5246,Y,N,,N,N,N,N,N,N,N,,N,Y,Y,Y,Y,N,,,,
Fel4,42.31346,-83.46471,Y,N,N,,N,,,,N,N,N,N,Y,Y,,,,N,,,
Fowl1,42.30423,-83.60516,Y,Y,,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y
Fowl2,42.28226,-83.50515,Y,N,N,N,,N,N,,Y,N,N,N,N,Y,N,N,,Y,,,
John1,42.3897,-83.58194,Y,Y,Y,N,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y
John2,42.3938201,-83.5342002,Y,N,Y,N,N,Y,Y,Y,N,,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y
