,FIELDID,Latitude,Longitude,Date,SQI,SQI_Rating
23,Bish2,42.47131,-83.45151,2022-09-15,38,Good
24,Bish2,42.47131,-83.45151,2021-09-15,21,Fair
25,Bish2,42.47131,-83.45151,2020-09-15,20,Fair
26,Bish2,42.47131,-83.45151,2019-09-15,23,Fair
28,Bish2,42.47131,-83.45151,2017-09-15,20,Fair
30,Bish2,42.47131,-83.45151,2015-09-15,20,Fair
32,Bish2,42.47131,-83.45151,2013-09-15,24,Fair
33,Bish2,42.47131,-83.45151,2012-09-15,17,Poor
34,Bish2,42.47131,-83.45151,2011-09-15,14,Poor
36,Bish2,42.47131,-83.45151,2009-09-15,25,Fair
37,Bish2,42.47131,-83.45151,2008-09-15,38,Good
38,Bish2,42.47131,-83.45151,2007-09-15,26,Fair
67,Evan2,42.472955,-83.247905,2022-09-15,20,Fair
68,Evan2,42.472955,-83.247905,2021-09-15,14,Poor
69,Evan2,42.472955,-83.247905,2020-09-15,21,Fair
70,Evan2,42.472955,-83.247905,2019-09-15,16,Poor
72,Evan2,42.472955,-83.247905,2017-09-15,13,Poor
73,Evan2,42.472955,-83.247905,2016-09-15,16,Poor
90,Evan3,42.459278,-83.268639,2021-09-15,2,Poor
91,Evan3,42.459278,-83.268639,2020-09-15,0,
92,Evan3,42.459278,-83.268639,2019-09-15,0,
94,Evan3,42.459278,-83.268639,2017-09-15,0,
111,Fel1,42.35729,-83.53988,2022-09-15,28,Fair
112,Fel1,42.35729,-83.53988,2021-09-15,32,Fair
114,Fel1,42.35729,-83.53988,2019-09-15,21,Fair
115,Fel1,42.35729,-83.53988,2018-09-15,15,Poor
117,Fel1,42.35729,-83.53988,2016-09-15,26,Fair
119,Fel1,42.35729,-83.53988,2014-09-15,37,Good
120,Fel1,42.35729,-83.53988,2013-09-15,23,Fair
121,Fel1,42.35729,-83.53988,2012-09-15,30,Fair
123,Fel1,42.35729,-83.53988,2010-09-15,31,Fair
125,Fel1,42.35729,-83.53988,2008-09-15,33,Fair
127,Fel1,42.35729,-83.53988,2006-09-15,34,Good
129,Fel1,42.35729,-83.53988,2004-09-15,22,Fair
130,Fel1,42.35729,-83.53988,2003-09-15,26,Fair
131,Fel1,42.35729,-83.53988,2002-09-15,26,Fair
132,Fel1,42.35729,-83.53988,2001-09-15,20,Fair
133,Fel2,42.31932,-83.5246,2022-09-15,11,Poor
137,Fel2,42.31932,-83.5246,2018-09-15,12,Poor
139,Fel2,42.31932,-83.5246,2016-09-15,36,Good
141,Fel2,42.31932,-83.5246,2014-09-15,18,Poor
142,Fel2,42.31932,-83.5246,2013-09-15,39,Good
144,Fel2,42.31932,-83.5246,2011-09-15,25,Fair
145,Fel2,42.31932,-83.5246,2010-09-15,25,Fair
146,Fel2,42.31932,-83.5246,2009-09-15,14,Poor
148,Fel2,42.31932,-83.5246,2007-09-15,32,Fair
149,Fel2,42.31932,-83.5246,2006-09-15,23,Fair
151,Fel2,42.31932,-83.5246,2004-09-15,27,Fair
152,Fel2,42.31932,-83.5246,2003-09-15,37,Good
153,Fel2,42.31932,-83.5246,2002-09-15,20,Fair
155,Fel4,42.31346,-83.46471,2022-09-15,25,Fair
160,Fel4,42.31346,-83.46471,2017-09-15,18,Poor
162,Fel4,42.31346,-83.46471,2015-09-15,33,Fair
163,Fel4,42.31346,-83.46471,2014-09-15,10,Poor
164,Fel4,42.31346,-83.46471,2013-09-15,25,Fair
165,Fel4,42.31346,-83.46471,2012-09-15,24,Fair
166,Fel4,42.31346,-83.46471,2011-09-15,25,Fair
169,Fel4,42.31346,-83.46471,2008-09-15,32,Fair
170,Fel4,42.31346,-83.46471,2007-09-15,41,Good
172,Fel4,42.31346,-83.46471,2005-09-15,33,Fair
177,Fel5,42.335263,-83.539831,2022-09-15,17,Poor
180,Fel5,42.335263,-83.539831,2019-09-15,22,Fair
185,Fel5,42.335263,-83.539831,2014-09-15,35,Good
186,Fel5,42.335263,-83.539831,2013-09-15,25,Fair
199,Fel6,42.328188,-83.532192,2022-09-15,22,Fair
200,Fel6,42.328188,-83.532192,2021-09-15,29,Fair
221,Fowl1,42.30423,-83.60516,2022-09-15,34,Good
222,Fowl1,42.30423,-83.60516,2021-09-15,23,Fair
223,Fowl1,42.30423,-83.60516,2020-09-15,28,Fair
224,Fowl1,42.30423,-83.60516,2019-09-15,27,Fair
225,Fowl1,42.30423,-83.60516,2018-09-15,15,Poor
228,Fowl1,42.30423,-83.60516,2015-09-15,22,Fair
229,Fowl1,42.30423,-83.60516,2014-09-15,38,Good
230,Fowl1,42.30423,-83.60516,2013-09-15,18,Poor
231,Fowl1,42.30423,-83.60516,2012-09-15,41,Good
233,Fowl1,42.30423,-83.60516,2010-09-15,39,Good
234,Fowl1,42.30423,-83.60516,2009-09-15,19,Poor
236,Fowl1,42.30423,-83.60516,2007-09-15,32,Fair
237,Fowl1,42.30423,-83.60516,2006-09-15,26,Fair
238,Fowl1,42.30423,-83.60516,2005-09-15,27,Fair
239,Fowl1,42.30423,-83.60516,2004-09-15,23,Fair
240,Fowl1,42.30423,-83.60516,2003-09-15,39,Good
241,Fowl1,42.30423,-83.60516,2002-09-15,33,Fair
242,Fowl1,42.30423,-83.60516,2001-09-15,32,Fair
243,Fowl2,42.28226,-83.50515,2022-09-15,20,Fair
247,Fowl2,42.28226,-83.50515,2018-09-15,19,Poor
250,Fowl2,42.28226,-83.50515,2015-09-15,22,Fair
251,Fowl2,42.28226,-83.50515,2014-09-15,26,Fair
252,Fowl2,42.28226,-83.50515,2013-09-15,24,Fair
253,Fowl2,42.28226,-83.50515,2012-09-15,28,Fair
255,Fowl2,42.28226,-83.50515,2010-09-15,26,Fair
257,Fowl2,42.28226,-83.50515,2008-09-15,21,Fair
258,Fowl2,42.28226,-83.50515,2007-09-15,26,Fair
259,Fowl2,42.28226,-83.50515,2006-09-15,27,Fair
275,Frank1,42.53024,-83.30585,2012-09-15,18,Poor
276,Frank1,42.53024,-83.30585,2011-09-15,28,Fair
279,Frank1,42.53024,-83.30585,2008-09-15,17,Poor
280,Frank1,42.53024,-83.30585,2007-09-15,14,Poor
283,Frank1,42.53024,-83.30585,2004-09-15,24,Fair
284,Frank1,42.53024,-83.30585,2003-09-15,24,Fair
285,Frank1,42.53024,-83.30585,2002-09-15,20,Fair
288,Frank2,42.529325,-83.325381,2021-09-15,20,Fair
289,Frank2,42.529325,-83.325381,2020-09-15,20,Fair
293,Frank2,42.529325,-83.325381,2016-09-15,12,Poor
294,Frank2,42.529325,-83.325381,2015-09-15,9,Poor
295,Frank2,42.529325,-83.325381,2014-09-15,30,Fair
297,Frank2,42.529325,-83.325381,2012-09-15,34,Good
298,Frank2,42.529325,-83.325381,2011-09-15,28,Fair
299,Frank2,42.529325,-83.325381,2010-09-15,15,Poor
