FIELDID,Latitude,Longitude,Season,SQI,Year,SQI_Rating
Bish1,42.482378,-83.460553,Spring,15,2004,Poor
Bish1,42.482378,-83.460553,Spring,17,2003,Poor
Bish1,42.482378,-83.460553,Spring,21,2002,Fair
Bish1,42.482378,-83.460553,Spring,22,2001,Fair
Bish2,42.47131,-83.45151,Fall,38,2022,Good
Bish2,42.47131,-83.45151,Fall,21,2021,Fair
Bish2,42.47131,-83.45151,Spring,28,2021,Fair
Bish2,42.47131,-83.45151,Fall,20,2020,Fair
Bish2,42.47131,-83.45151,Fall,23,2019,Fair
Bish2,42.47131,-83.45151,Fall,20,2017,Fair
Bish2,42.47131,-83.45151,Spring,26,2017,Fair
Bish2,42.47131,-83.45151,Spring,32,2016,Fair
Bish2,42.47131,-83.45151,Fall,20,2015,Fair
Bish2,42.47131,-83.45151,Spring,15,2014,Poor
Bish2,42.47131,-83.45151,Fall,24,2013,Fair
Bish2,42.47131,-83.45151,Spring,21,2013,Fair
Bish2,42.47131,-83.45151,Fall,17,2012,Poor
Bish2,42.47131,-83.45151,Spring,21,2012,Fair
Bish2,42.47131,-83.45151,Fall,14,2011,Poor
Bish2,42.47131,-83.45151,Spring,18,2011,Poor
Bish2,42.47131,-83.45151,Spring,25,2010,Fair
Bish2,42.47131,-83.45151,Fall,25,2009,Fair
Bish2,42.47131,-83.45151,Spring,16,2009,Poor
Bish2,42.47131,-83.45151,Fall,38,2008,Good
Bish2,42.47131,-83.45151,Spring,24,2008,Fair
Bish2,42.47131,-83.45151,Fall,26,2007,Fair
Evan1,42.504517,-83.2333884,Spring,15,2015,Poor
Evan1,42.504517,-83.2333884,Spring,14,2014,Poor
Evan2,42.472955,-83.247905,Fall,20,2022,Fair
Evan2,42.472955,-83.247905,Spring,16,2022,Poor
Evan2,42.472955,-83.247905,Fall,14,2021,Poor
Evan2,42.472955,-83.247905,Spring,12,2021,Poor
Evan2,42.472955,-83.247905,Fall,21,2020,Fair
Evan2,42.472955,-83.247905,Fall,16,2019,Poor
Evan2,42.472955,-83.247905,Spring,18,2019,Poor
Evan2,42.472955,-83.247905,Fall,13,2017,Poor
Evan2,42.472955,-83.247905,Fall,16,2016,Poor
Evan2,42.472955,-83.247905,Spring,19,2016,Fair
Evan2,42.472955,-83.247905,Spring,14,2015,Poor
Evan3,42.459278,-83.268639,Fall,2,2021,Poor
Evan3,42.459278,-83.268639,Spring,0,2021,Poor
Evan3,42.459278,-83.268639,Fall,0,2020,Poor
Evan3,42.459278,-83.268639,Spring,0,2020,Poor
Evan3,42.459278,-83.268639,Fall,0,2019,Poor
Evan3,42.459278,-83.268639,Spring,0,2019,Poor
Evan3,42.459278,-83.268639,Spring,0,2018,Poor
Evan3,42.459278,-83.268639,Fall,0,2017,Poor
Evan3,42.459278,-83.268639,Spring,0,2017,Poor
Fel1,42.35729,-83.53988,Fall,28,2022,Fair
Fel1,42.35729,-83.53988,Fall,32,2021,Fair
Fel1,42.35729,-83.53988,Fall,21,2019,Fair
Fel1,42.35729,-83.53988,Fall,15,2018,Poor
Fel1,42.35729,-83.53988,Spring,27,2017,Fair
Fel1,42.35729,-83.53988,Fall,26,2016,Fair
Fel1,42.35729,-83.53988,Spring,28,2016,Fair
Fel1,42.35729,-83.53988,Fall,37,2014,Good
Fel1,42.35729,-83.53988,Spring,37,2014,Good
Fel1,42.35729,-83.53988,Fall,23,2013,Fair
Fel1,42.35729,-83.53988,Spring,33,2013,Fair
Fel1,42.35729,-83.53988,Fall,30,2012,Fair
Fel1,42.35729,-83.53988,Spring,26,2012,Fair
Fel1,42.35729,-83.53988,Spring,22,2011,Fair
Fel1,42.35729,-83.53988,Fall,31,2010,Fair
Fel1,42.35729,-83.53988,Fall,33,2008,Fair
Fel1,42.35729,-83.53988,Spring,22,2007,Fair
Fel1,42.35729,-83.53988,Fall,34,2006,Good
Fel1,42.35729,-83.53988,Spring,36,2006,Good
Fel1,42.35729,-83.53988,Fall,22,2004,Fair
Fel1,42.35729,-83.53988,Spring,38,2004,Good
Fel1,42.35729,-83.53988,Fall,26,2003,Fair
Fel1,42.35729,-83.53988,Spring,24,2003,Fair
Fel1,42.35729,-83.53988,Fall,26,2002,Fair
Fel1,42.35729,-83.53988,Spring,34,2002,Good
Fel1,42.35729,-83.53988,Fall,20,2001,Fair
Fel1,42.35729,-83.53988,Spring,33,2001,Fair
Fel2,42.31932,-83.5246,Fall,11,2022,Poor
Fel2,42.31932,-83.5246,Spring,39,2021,Good
Fel2,42.31932,-83.5246,Fall,12,2018,Poor
Fel2,42.31932,-83.5246,Spring,26,2018,Fair
Fel2,42.31932,-83.5246,Spring,32,2017,Fair
Fel2,42.31932,-83.5246,Fall,36,2016,Good
Fel2,42.31932,-83.5246,Spring,37,2016,Good
Fel2,42.31932,-83.5246,Fall,18,2014,Poor
Fel2,42.31932,-83.5246,Spring,20,2014,Fair
Fel2,42.31932,-83.5246,Fall,39,2013,Good
Fel2,42.31932,-83.5246,Spring,23,2013,Fair
Fel2,42.31932,-83.5246,Fall,25,2011,Fair
Fel2,42.31932,-83.5246,Spring,33,2011,Fair
Fel2,42.31932,-83.5246,Fall,25,2010,Fair
Fel2,42.31932,-83.5246,Spring,40,2010,Good
Fel2,42.31932,-83.5246,Fall,14,2009,Poor
Fel2,42.31932,-83.5246,Spring,26,2008,Fair
Fel2,42.31932,-83.5246,Fall,32,2007,Fair
Fel2,42.31932,-83.5246,Spring,31,2007,Fair
Fel2,42.31932,-83.5246,Fall,23,2006,Fair
Fel2,42.31932,-83.5246,Spring,23,2006,Fair
Fel2,42.31932,-83.5246,Spring,27,2005,Fair
Fel2,42.31932,-83.5246,Fall,27,2004,Fair
Fel2,42.31932,-83.5246,Spring,23,2004,Fair
Fel2,42.31932,-83.5246,Fall,37,2003,Good
Fel2,42.31932,-83.5246,Spring,22,2003,Fair
Fel2,42.31932,-83.5246,Fall,20,2002,Fair
Fel2,42.31932,-83.5246,Spring,23,2002,Fair
Fel4,42.31346,-83.46471,Fall,25,2022,Fair
Fel4,42.31346,-83.46471,Spring,28,2018,Fair
Fel4,42.31346,-83.46471,Fall,18,2017,Poor
Fel4,42.31346,-83.46471,Fall,33,2015,Fair
Fel4,42.31346,-83.46471,Spring,33,2015,Fair
Fel4,42.31346,-83.46471,Fall,10,2014,Poor
Fel4,42.31346,-83.46471,Fall,25,2013,Fair
Fel4,42.31346,-83.46471,Fall,24,2012,Fair
Fel4,42.31346,-83.46471,Spring,20,2012,Fair
Fel4,42.31346,-83.46471,Fall,25,2011,Fair
Fel4,42.31346,-83.46471,Spring,18,2011,Poor
Fel4,42.31346,-83.46471,Spring,25,2010,Fair
Fel4,42.31346,-83.46471,Fall,32,2008,Fair
Fel4,42.31346,-83.46471,Spring,25,2008,Fair
Fel4,42.31346,-83.46471,Fall,41,2007,Good
Fel4,42.31346,-83.46471,Spring,24,2007,Fair
Fel4,42.31346,-83.46471,Spring,26,2006,Fair
Fel4,42.31346,-83.46471,Fall,33,2005,Fair
Fel4,42.31346,-83.46471,Spring,12,2005,Poor
Fel5,42.335263,-83.539831,Fall,17,2022,Poor
Fel5,42.335263,-83.539831,Fall,22,2019,Fair
Fel5,42.335263,-83.539831,Spring,41,2017,Good
Fel5,42.335263,-83.539831,Spring,41,2015,Good
Fel5,42.335263,-83.539831,Fall,35,2014,Good
Fel5,42.335263,-83.539831,Fall,25,2013,Fair
Fel6,42.328188,-83.532192,Fall,22,2022,Fair
Fel6,42.328188,-83.532192,Fall,29,2021,Fair
Fel6,42.328188,-83.532192,Spring,40,2018,Good
Fel6,42.328188,-83.532192,Spring,22,2017,Fair
Fel6,42.328188,-83.532192,Spring,25,2015,Fair
Fowl1,42.30423,-83.60516,Fall,34,2022,Good
Fowl1,42.30423,-83.60516,Spring,39,2022,Good
Fowl1,42.30423,-83.60516,Fall,23,2021,Fair
Fowl1,42.30423,-83.60516,Spring,20,2021,Fair
Fowl1,42.30423,-83.60516,Fall,28,2020,Fair
Fowl1,42.30423,-83.60516,Fall,27,2019,Fair
Fowl1,42.30423,-83.60516,Spring,33,2019,Fair
Fowl1,42.30423,-83.60516,Fall,15,2018,Poor
Fowl1,42.30423,-83.60516,Spring,31,2018,Fair
Fowl1,42.30423,-83.60516,Fall,22,2015,Fair
Fowl1,42.30423,-83.60516,Spring,42,2015,Good
Fowl1,42.30423,-83.60516,Fall,38,2014,Good
Fowl1,42.30423,-83.60516,Spring,34,2014,Good
Fowl1,42.30423,-83.60516,Fall,18,2013,Poor
Fowl1,42.30423,-83.60516,Spring,43,2013,Good
Fowl1,42.30423,-83.60516,Fall,41,2012,Good
Fowl1,42.30423,-83.60516,Spring,37,2011,Good
Fowl1,42.30423,-83.60516,Fall,39,2010,Good
Fowl1,42.30423,-83.60516,Spring,38,2010,Good
Fowl1,42.30423,-83.60516,Fall,19,2009,Fair
Fowl1,42.30423,-83.60516,Fall,32,2007,Fair
Fowl1,42.30423,-83.60516,Spring,49,2007,Excellent
Fowl1,42.30423,-83.60516,Fall,26,2006,Fair
Fowl1,42.30423,-83.60516,Spring,45,2006,Good
Fowl1,42.30423,-83.60516,Fall,27,2005,Fair
Fowl1,42.30423,-83.60516,Spring,23,2005,Fair
Fowl1,42.30423,-83.60516,Fall,23,2004,Fair
Fowl1,42.30423,-83.60516,Spring,29,2004,Fair
Fowl1,42.30423,-83.60516,Fall,39,2003,Good
Fowl1,42.30423,-83.60516,Spring,35,2003,Good
Fowl1,42.30423,-83.60516,Fall,33,2002,Fair
Fowl1,42.30423,-83.60516,Spring,23,2002,Fair
Fowl1,42.30423,-83.60516,Fall,32,2001,Fair
Fowl1,42.30423,-83.60516,Spring,30,2001,Fair
Fowl2,42.28226,-83.50515,Fall,20,2022,Fair
Fowl2,42.28226,-83.50515,Spring,24,2021,Fair
Fowl2,42.28226,-83.50515,Fall,19,2018,Fair
Fowl2,42.28226,-83.50515,Spring,25,2018,Fair
Fowl2,42.28226,-83.50515,Spring,22,2016,Fair
Fowl2,42.28226,-83.50515,Fall,22,2015,Fair
Fowl2,42.28226,-83.50515,Spring,26,2015,Fair
Fowl2,42.28226,-83.50515,Fall,26,2014,Fair
Fowl2,42.28226,-83.50515,Spring,21,2014,Fair
Fowl2,42.28226,-83.50515,Fall,24,2013,Fair
Fowl2,42.28226,-83.50515,Spring,28,2013,Fair
Fowl2,42.28226,-83.50515,Fall,28,2012,Fair
Fowl2,42.28226,-83.50515,Fall,26,2010,Fair
Fowl2,42.28226,-83.50515,Spring,41,2010,Good
Fowl2,42.28226,-83.50515,Fall,21,2008,Fair
Fowl2,42.28226,-83.50515,Spring,33,2008,Fair
Fowl2,42.28226,-83.50515,Fall,26,2007,Fair
Fowl2,42.28226,-83.50515,Spring,46,2007,Good
Fowl2,42.28226,-83.50515,Fall,27,2006,Fair
Fowl2,42.28226,-83.50515,Spring,28,2006,Fair
