,FIELDID,Year,Latitude,Longitude,Species per Year
0,Bell1,2016,42.42924,-83.39666,10
1,Bell4,2016,42.40327,-83.36237,10
2,Bell4,2022,42.40327,-83.36237,8
3,Bish2,2017,42.47131,-83.45151,8
4,Bish2,2022,42.47131,-83.45151,7
5,CL,2017,42.434131,-83.46284,6
6,DNRFel,2022,42.32336,-83.48854,10
7,Evan2,2016,42.472955,-83.247905,6
8,Evan2,2022,42.472955,-83.247905,5
9,Evan3,2018,42.459278,-83.268639,5
10,Evan4,2020,42.443871,-83.269766,6
11,Evan5,2021,42.467809,-83.2616187,3
12,Evan5,2022,42.467809,-83.2616187,5
13,Evan6,2022,42.469335,-83.244996,2
14,FLOW2,2016,42.58359,-83.27364,4
15,Fel1,2013,42.35729,-83.53988,10
16,Fel1,2014,42.35729,-83.53988,9
17,Fel3,2013,42.349854,-83.540557,9
18,Fel3,2014,42.349854,-83.540557,11
19,Fel4,2013,42.31346,-83.46471,13
20,Fel4,2014,42.31346,-83.46471,9
21,Fel4,2015,42.31346,-83.46471,11
22,Fel4,2022,42.31346,-83.46471,11
23,Fel5,2013,42.335263,-83.539831,7
24,Fel5,2014,42.335263,-83.539831,11
25,Fel6,2013,42.328188,-83.532192,12
26,Fel6,2014,42.328188,-83.532192,11
27,Fel6,2015,42.328188,-83.532192,12
28,Fel6,2022,42.328188,-83.532192,6
29,Fowl1,2013,42.30423,-83.60516,12
30,Fowl1,2014,42.30423,-83.60516,13
31,Fowl2,2013,42.28226,-83.50515,8
32,Fowl2,2014,42.28226,-83.50515,13
33,Fowl2,2016,42.28226,-83.50515,15
34,Fowl2,2017,42.28226,-83.50515,16
35,Fowl2,2018,42.28226,-83.50515,10
36,Fowl2,2019,42.28226,-83.50515,13
37,Fowl2,2020,42.28226,-83.50515,14
38,Fowl2,2021,42.28226,-83.50515,11
39,Fowl2,2022,42.28226,-83.50515,17
40,Fowl3,2013,42.297437,-83.584549,11
41,Fowl3,2014,42.297437,-83.584549,10
42,Fowl4,2015,42.2755623,-83.553772,8
43,Fowl4,2021,42.2755623,-83.553772,13
44,Fowl4,2022,42.2755623,-83.553772,10
45,Fowl5,2015,42.2802935,-83.5254264,12
46,Fowl5,2016,42.2802935,-83.5254264,11
47,Fowl5,2017,42.2802935,-83.5254264,12
48,Fowl5,2018,42.2802935,-83.5254264,10
49,Fowl5,2019,42.2802935,-83.5254264,10
50,Fowl5,2020,42.2802935,-83.5254264,15
51,Fowl5,2021,42.2802935,-83.5254264,12
52,Fowl5,2022,42.2802935,-83.5254264,13
53,Fowl6,2018,42.303202,-83.608035,7
54,Frank1,2015,42.53024,-83.30585,5
55,Frank1,2022,42.53024,-83.30585,7
56,Frank2,2015,42.529325,-83.325381,7
57,Frank3,2016,42.56567,-83.38011,9
58,Frank4,2016,42.56574,-83.37964,11
59,Frank4,2021,42.56574,-83.37964,11
60,Frank5,2016,42.5654,-83.38219,3
61,Frank6,2016,42.5653611,-83.3735027,8
62,Frank6,2017,42.5653611,-83.3735027,7
63,Frank7,2017,42.55605,-83.3548,7
64,Frank8,2017,42.564393,-83.3754668,8
65,GilbL,2020,42.560939,-83.278472,9
66,HamL,2018,42.6066819,-83.3223617,13
67,Ing1,2015,42.46293,-83.44552,8
68,John1,2012,42.3897,-83.58194,16
69,John1,2022,42.3897,-83.58194,14
70,John10,2022,42.3971408,-83.5293057,12
71,John2,2012,42.3938201,-83.5342002,13
72,John2,2018,42.3938201,-83.5342002,14
73,John2,2021,42.3938201,-83.5342002,12
74,John2,2022,42.3938201,-83.5342002,10
75,John3,2012,42.40844,-83.51693,11
76,John3,2018,42.40844,-83.51693,10
77,John5,2012,42.4224,-83.49289,11
78,John6,2012,42.42546,-83.48138,12
79,John6,2018,42.42546,-83.48138,13
80,John6,2020,42.42546,-83.48138,8
81,John6,2021,42.42546,-83.48138,4
82,John6,2022,42.42546,-83.48138,13
83,John7,2012,42.3985716,-83.5279588,14
84,John8,2012,42.42148,-83.54396,9
85,John9,2012,42.38066,-83.545192,13
86,JohnRHS,2012,42.42611,-83.486667,4
87,JohnRHS,2018,42.42611,-83.486667,12
88,JohnSWD,2012,42.392444,-83.595278,5
89,LR-1,2012,42.280425,-83.42027,8
90,LR-1,2013,42.280425,-83.42027,11
91,LR-1,2014,42.280425,-83.42027,10
92,LR-1,2015,42.280425,-83.42027,12
93,LR-1,2016,42.280425,-83.42027,12
94,LR-1,2017,42.280425,-83.42027,15
95,LR-10,2012,42.298506,-83.305839,10
96,LR-10,2013,42.298506,-83.305839,6
97,LR-10,2014,42.298506,-83.305839,11
98,LR-10,2015,42.298506,-83.305839,18
99,LR-10,2016,42.298506,-83.305839,14
100,LR-10,2017,42.298506,-83.305839,18
101,LR-10,2018,42.298506,-83.305839,18
102,LR-10,2019,42.298506,-83.305839,11
103,LR-10,2020,42.298506,-83.305839,12
104,LR-10,2021,42.298506,-83.305839,9
105,LR-10,2022,42.298506,-83.305839,12
106,LR-11,2007,42.309888,-83.24854,1
107,LR-11,2013,42.309888,-83.24854,10
108,LR-11,2015,42.309888,-83.24854,14
109,LR-11A,2014,42.3125679,-83.2415233,17
110,LR-11A,2015,42.3125679,-83.2415233,17
111,LR-11A,2016,42.3125679,-83.2415233,20
112,LR-11A,2017,42.3125679,-83.2415233,16
113,LR-11A,2018,42.3125679,-83.2415233,18
114,LR-11A,2019,42.3125679,-83.2415233,16
115,LR-11A,2020,42.3125679,-83.2415233,14
116,LR-11A,2021,42.3125679,-83.2415233,12
117,LR-11A,2022,42.3125679,-83.2415233,16
118,LR-12,2013,42.282317,-83.466103,18
119,LR-12,2014,42.282317,-83.466103,13
120,LR-12,2015,42.282317,-83.466103,19
121,LR-12,2016,42.282317,-83.466103,17
122,LR-12,2017,42.282317,-83.466103,15
123,LR-12,2018,42.282317,-83.466103,12
124,LR-12,2019,42.282317,-83.466103,12
125,LR-12,2020,42.282317,-83.466103,14
126,LR-12,2021,42.282317,-83.466103,12
127,LR-12,2022,42.282317,-83.466103,18
128,LR-2,2013,42.281962,-83.503009,14
129,LR-2,2014,42.281962,-83.503009,10
130,LR-2,2016,42.281962,-83.503009,15
131,LR-2,2017,42.281962,-83.503009,13
132,LR-2,2018,42.281962,-83.503009,11
133,LR-2,2019,42.281962,-83.503009,15
134,LR-2,2020,42.281962,-83.503009,7
135,LR-2,2021,42.281962,-83.503009,11
136,LR-2,2022,42.281962,-83.503009,15
137,LR-3,2015,42.284848,-83.381855,8
138,LR-5,2013,42.300561,-83.4374797,16
139,LR-5,2014,42.300561,-83.4374797,12
140,LR-5,2015,42.300561,-83.4374797,11
141,LR-5,2016,42.300561,-83.4374797,11
142,LR-5,2022,42.300561,-83.4374797,10
143,LR-6,2013,42.285,-83.383888,14
