,FIELDID,Latitude,Longitude,Date and Time,Common Name,Quantity,Year,Month,Day,Category,Species per Year
0,Low4,42.2866039,-83.4756605,2015-08-25,Gizzard Shad,1,2015,8,25,,21
1,Low9,42.283461,-83.505311,2016-08-22,Gizzard Shad,9,2016,8,22,,10
2,Low11,42.2972147,-83.5254371,2016-08-22,Gizzard Shad,11,2016,8,22,,13
3,LR-6,42.285,-83.383888,2013-09-06,Gizzard Shad,5,2013,9,6,,14
4,Fowl2,42.28226,-83.50515,2014-08-22,Gizzard Shad,2,2014,8,22,,13
5,Main10,42.312949,-83.232347,2011-08-29,Gizzard Shad,50,2011,8,29,,9
6,Main8,42.29352,-83.14873,2012-06-15,Gizzard Shad,8,2012,6,15,,16
7,LR-5,42.300561,-83.4374797,2013-08-10,Gizzard Shad,2,2013,8,10,,16
8,Main10,42.312949,-83.232347,2013-09-07,Gizzard Shad,3,2013,9,7,,19
9,LR-2,42.281962,-83.503009,2014-08-22,Gizzard Shad,8,2014,8,22,,10
10,LR-5,42.300561,-83.4374797,2014-08-22,Gizzard Shad,1,2014,8,22,,12
11,LR-3,42.284848,-83.381855,2015-08-29,Gizzard Shad,1,2015,8,29,,8
12,Fowl2,42.28226,-83.50515,2016-08-22,Gizzard Shad,16,2016,8,22,,15
13,Fowl5,42.2802935,-83.5254264,2016-08-22,Gizzard Shad,1,2016,8,22,,11
14,LR-10,42.298506,-83.305839,2016-08-26,Gizzard Shad,3,2016,8,26,,14
15,LR-11A,42.3125679,-83.2415233,2016-08-26,Gizzard Shad,4,2016,8,26,,20
16,Low8,42.285374,-83.388726,2016-08-27,Gizzard Shad,3,2016,8,27,,13
17,Main8,42.29352,-83.14873,2012-06-15,Bowfin,1,2012,6,15,Piscivores,16
18,Main8,42.29352,-83.14873,2012-06-15,Bowfin,1,2012,6,15,Tolerant,16
19,Low2,42.30724,-83.53793,2014-08-23,Central Stoneroller,96,2014,8,23,,13
20,Nott,42.51149,-83.26463,2016-10-03,Central Stoneroller,3,2016,10,3,,10
21,Up2,42.4632161,-83.3682334,2013-10-10,Central Stoneroller,60,2013,10,10,,14
22,Peb3,42.500849,-83.324474,2016-10-04,Central Stoneroller,1,2016,10,4,,8
23,Fowl3,42.297437,-83.584549,2013-09-20,Central Stoneroller,40,2013,9,20,,11
24,Main4.5,42.53718,-83.22861,2016-09-28,Central Stoneroller,2,2016,9,28,,9
25,Main6,42.47882,-83.284548,2015-09-18,Central Stoneroller,33,2015,9,18,,11
26,Fowl3,42.297437,-83.584549,2014-05-16,Central Stoneroller,25,2014,5,16,,10
27,Main3,42.5487974,-83.2177051,2016-09-28,Central Stoneroller,3,2016,9,28,,10
28,Peb4,42.4716,-83.30391,2016-10-04,Central Stoneroller,1,2016,10,4,,11
29,Fel4,42.31346,-83.46471,2013-05-18,Central Stoneroller,21,2013,5,18,,13
30,John9,42.38066,-83.545192,2012-05-24,Central Stoneroller,7,2012,5,24,,13
31,LR-8,42.295976,-83.541846,2014-09-05,Central Stoneroller,19,2014,9,5,,12
32,See3,42.51073,-83.4304,2012-05-18,Central Stoneroller,1,2012,5,18,,13
33,John1,42.3897,-83.58194,2012-05-24,Central Stoneroller,3,2012,5,24,,16
34,Low4,42.2866039,-83.4756605,2015-08-25,Central Stoneroller,16,2015,8,25,,21
35,Low2,42.30724,-83.53793,2013-09-13,Central Stoneroller,14,2013,9,13,,13
36,LR-8,42.295976,-83.541846,2014-05-02,Central Stoneroller,14,2014,5,2,,12
37,John2,42.3938201,-83.5342002,2012-05-25,Central Stoneroller,2,2012,5,25,,13
38,Fowl1,42.30423,-83.60516,2014-05-16,Central Stoneroller,13,2014,5,16,,13
39,LR-12,42.282317,-83.466103,2016-05-19,Central Stoneroller,13,2016,5,19,,17
40,Min4,42.526938,-83.421444,2012-05-15,Central Stoneroller,1,2012,5,15,,11
41,Fowl1,42.30423,-83.60516,2013-05-10,Central Stoneroller,12,2013,5,10,,12
42,Up1,42.47526,-83.3854501,2012-05-22,Central Stoneroller,2,2012,5,22,,12
43,LR-8,42.295976,-83.541846,2013-09-13,Central Stoneroller,11,2013,9,13,,10
44,Low7,42.283278,-83.397352,2016-05-10,Central Stoneroller,11,2016,5,10,,13
45,Main1,42.60991,-83.17984,2016-09-23,Central Stoneroller,1,2016,9,23,,15
46,Up2,42.4632161,-83.3682334,2012-05-22,Central Stoneroller,10,2012,5,22,,12
47,Low4,42.2866039,-83.4756605,2015-05-29,Central Stoneroller,10,2015,5,29,,21
48,John7,42.3985716,-83.5279588,2012-05-25,Central Stoneroller,1,2012,5,25,,14
49,Low2,42.30724,-83.53793,2013-05-11,Central Stoneroller,9,2013,5,11,,13
50,See4,42.516904,-83.436534,2012-05-18,Central Stoneroller,1,2012,5,18,,6
51,LR-12,42.282317,-83.466103,2014-07-11,Central Stoneroller,8,2014,7,11,,13
52,Up4,42.40314,-83.28834,2013-10-10,Central Stoneroller,7,2013,10,10,,12
53,Fowl1,42.30423,-83.60516,2014-09-05,Central Stoneroller,7,2014,9,5,,13
54,LR-1,42.280425,-83.42027,2012-11-23,Central Stoneroller,6,2012,11,23,,8
55,LR-10,42.298506,-83.305839,2012-11-23,Central Stoneroller,6,2012,11,23,,10
56,Low8,42.285374,-83.388726,2015-08-01,Central Stoneroller,6,2015,8,1,,10
57,Low4,42.2866039,-83.4756605,2015-08-15,Central Stoneroller,6,2015,8,15,,21
58,Sprag,42.6159714,-83.1920726,2016-09-23,Central Stoneroller,1,2016,9,23,,8
59,John8,42.42148,-83.54396,2012-05-29,Central Stoneroller,1,2012,5,29,,9
60,SeeBosch,42.491667,-83.421528,2012-06-19,Central Stoneroller,2,2012,6,19,,11
61,Fel4,42.31346,-83.46471,2014-06-13,Central Stoneroller,5,2014,6,13,,9
62,MR-20,42.411952,-83.471703,2015-06-19,Central Stoneroller,1,2015,6,19,,12
63,Main13,42.59005,-83.18976,2016-09-23,Central Stoneroller,1,2016,9,23,,11
64,Min2,42.493065,-83.37734,2012-05-17,Central Stoneroller,1,2012,5,17,,13
65,Min3A,42.50056,-83.3732,2012-05-17,Central Stoneroller,1,2012,5,17,,10
66,LR-12,42.282317,-83.466103,2013-08-09,Central Stoneroller,4,2013,8,9,,18
67,LR-12,42.282317,-83.466103,2014-05-10,Central Stoneroller,4,2014,5,10,,13
68,LR-1,42.280425,-83.42027,2014-08-08,Central Stoneroller,4,2014,8,8,,10
