,TRSQ,frog_names
0,T1S R7E 171,"American Toad, Chorus Frog, Gray Tree Frog, Leopard Frog, Spring Peeper, Wood Frog"
1,T1S R7E 172,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
2,T1S R7E 173,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
3,T1S R7E 174,"American Toad, Chorus Frog, Gray Tree Frog, Leopard Frog, Spring Peeper, Wood Frog"
4,T1S R7E 124,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
5,T1S R7E 213,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
6,T1S R8E 101,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
7,T1N R7E 364,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
8,T1N R8E 8 3,"Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
9,T1N R8E 163,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
10,T1N R8E 173,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
11,T1N R8E 313,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
12,T1N R8E 354,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
13,T1N R7E 362,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
14,T1N R7E 363,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
15,T1S R7E 2 2,"Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
16,T1S R7E 2 3,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
17,T1N R8E 3 3,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
18,T1N R8E 102,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
19,T1N R8E 213,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
20,T1N R8E 291,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
21,T1N R8E 294,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
22,T1N R8E 333,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
23,T1S R7E 121,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
24,T1S R7E 122,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
25,T1S R7E 133,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
26,T1S R7E 141,"American Toad, Chorus Frog, Green Frog, Spring Peeper, Wood Frog"
27,T1S R7E 144,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
28,T2N R9E 344,"Chorus Frog, Spring Peeper, Wood Frog"
29,T1S R7E 1 2,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
30,T1S R7E 1 3,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
31,T1S R7E 154,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
32,T1S R7E 162,"American Toad, Bull Frog, Chorus Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
33,T1S R7E 163,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
34,T1S R7E 194,"American Toad, Chorus Frog, Leopard Frog, Spring Peeper, Wood Frog"
35,T1S R7E 201,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
36,T1S R7E 202,"American Toad, Chorus Frog, Leopard Frog, Spring Peeper, Wood Frog"
37,T1S R7E 203,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
38,T1S R7E 204,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
39,T1S R7E 221,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
40,T1S R7E 232,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
41,T1S R7E 233,"American Toad, Chorus Frog, Green Frog, Spring Peeper, Wood Frog"
42,T1S R7E 234,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
43,T1S R8E 5 2,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
44,T1S R8E 7 2,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
45,T1S R8E 104,"Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
46,T1N R8E 321,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
47,T1N R8E 151,"Chorus Frog, Spring Peeper, Wood Frog"
48,T1N R8E 113,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
49,T1N R8E 114,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
50,T1S R8E 203,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
51,T1N R8E 4 3,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
52,T1N R8E 102,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
53,T1N R8E 103,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
54,T1N R8E 141,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
55,T1N R8E 173,"American Toad, Chorus Frog, Gray Tree Frog, Spring Peeper, Wood Frog"
56,T1N R8E 213,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
57,T1N R8E 251,"American Toad, Chorus Frog, Spring Peeper, Wood Frog"
58,T1N R8E 253,"American Toad, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
59,T1N R8E 254,"American Toad, Bull Frog, Chorus Frog, Green Frog, Spring Peeper, Wood Frog"
60,T1N R8E 271,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
61,T1N R8E 272,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
62,T1N R8E 281,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
63,T1N R8E 282,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
64,T1N R8E 283,"American Toad, Chorus Frog, Gray Tree Frog, Green Frog, Leopard Frog, Spring Peeper, Wood Frog"
65,T1N R8E 291,"American Toad, Bull Frog, Chorus Frog, Gray Tree Frog, Green Frog, Spring Peeper, Wood Frog"
