FIELDID,Latitude,Longitude,Sample Date,Taxon
MN-1,42.438056,-83.274722,4/24/2012,Elmidae
MN-1,42.438056,-83.274722,4/24/2012,Hydropsychidae
MN-1,42.438056,-83.274722,4/24/2012,Aeshnidae
MN-1,42.438056,-83.274722,4/24/2012,Calopterygidae
MN-1,42.438056,-83.274722,4/24/2012,Coenagrionidae
MN-1,42.438056,-83.274722,4/24/2012,Chironomidae
MN-1,42.438056,-83.274722,4/24/2012,Simuliidae
MN-1,42.438056,-83.274722,4/24/2012,Decapoda
MN-1,42.438056,-83.274722,4/24/2012,Isopoda
MN-1,42.438056,-83.274722,4/24/2012,Amphipoda
MN-1,42.438056,-83.274722,4/24/2012,Oligochaeta
MN-1,42.438056,-83.274722,4/24/2012,Hirudinea
MN-2,42.399722,-83.271389,4/24/2012,Heptageniidae
MN-2,42.399722,-83.271389,4/24/2012,Nepidae
MN-2,42.399722,-83.271389,4/24/2012,Hydropsychidae
MN-2,42.399722,-83.271389,4/24/2012,Calopterygidae
MN-2,42.399722,-83.271389,4/24/2012,Coenagrionidae
MN-2,42.399722,-83.271389,4/24/2012,Chironomidae
MN-2,42.399722,-83.271389,4/24/2012,Simuliidae
MN-2,42.399722,-83.271389,4/24/2012,Decapoda
MN-2,42.399722,-83.271389,4/24/2012,Isopoda
MN-2,42.399722,-83.271389,4/24/2012,Amphipoda
MN-2,42.399722,-83.271389,4/24/2012,Oligochaeta
MN-4,42.3378683,-83.2496084,4/24/2012,Heptageniidae
MN-4,42.3378683,-83.2496084,4/24/2012,Haliplidae
MN-4,42.3378683,-83.2496084,4/24/2012,Calopterygidae
MN-4,42.3378683,-83.2496084,4/24/2012,Coenagrionidae
MN-4,42.3378683,-83.2496084,4/24/2012,Chironomidae
MN-4,42.3378683,-83.2496084,4/24/2012,Decapoda
MN-4,42.3378683,-83.2496084,4/24/2012,Isopoda
MN-4,42.3378683,-83.2496084,4/24/2012,Amphipoda
MR-2a,42.4089,-83.4704,4/24/2012,Baetidae
MR-2a,42.4089,-83.4704,4/24/2012,Heptageniidae
MR-2a,42.4089,-83.4704,4/24/2012,Elmidae
MR-2a,42.4089,-83.4704,4/24/2012,Hydropsychidae
MR-2a,42.4089,-83.4704,4/24/2012,Philopotamidae
MR-2a,42.4089,-83.4704,4/24/2012,Chironomidae
MR-2a,42.4089,-83.4704,4/24/2012,Simuliidae
MR-2a,42.4089,-83.4704,4/24/2012,Physidae
MR-2a,42.4089,-83.4704,4/24/2012,Sphaeriidae
MR-2a,42.4089,-83.4704,4/24/2012,Decapoda
MR-2a,42.4089,-83.4704,4/24/2012,Isopoda
MR-2a,42.4089,-83.4704,4/24/2012,Amphipoda
MR-3,42.37402,-83.45532,4/24/2012,Baetidae
MR-3,42.37402,-83.45532,4/24/2012,Heptageniidae
MR-3,42.37402,-83.45532,4/24/2012,Elmidae
MR-3,42.37402,-83.45532,4/24/2012,Hydropsychidae
MR-3,42.37402,-83.45532,4/24/2012,Philopotamidae
MR-3,42.37402,-83.45532,4/24/2012,Calopterygidae
MR-3,42.37402,-83.45532,4/24/2012,Coenagrionidae
MR-3,42.37402,-83.45532,4/24/2012,Chironomidae
MR-3,42.37402,-83.45532,4/24/2012,Simuliidae
MR-3,42.37402,-83.45532,4/24/2012,Tipulidae
MR-3,42.37402,-83.45532,4/24/2012,Prosobranchia
MR-3,42.37402,-83.45532,4/24/2012,Physidae
MR-3,42.37402,-83.45532,4/24/2012,Sphaeriidae
MR-3,42.37402,-83.45532,4/24/2012,Decapoda
MR-3,42.37402,-83.45532,4/24/2012,Amphipoda
MR-3,42.37402,-83.45532,4/24/2012,Oligochaeta
MR-3,42.37402,-83.45532,4/24/2012,Hirudinea
MR-9,42.34732,-83.29135,4/27/2012,Heptageniidae
MR-9,42.34732,-83.29135,4/27/2012,Haliplidae
MR-9,42.34732,-83.29135,4/27/2012,Hydropsychidae
MR-9,42.34732,-83.29135,4/27/2012,Aeshnidae
MR-9,42.34732,-83.29135,4/27/2012,Calopterygidae
MR-9,42.34732,-83.29135,4/27/2012,Coenagrionidae
MR-9,42.34732,-83.29135,4/27/2012,Chironomidae
MR-9,42.34732,-83.29135,4/27/2012,Simuliidae
MR-9,42.34732,-83.29135,4/27/2012,Prosobranchia
MR-9,42.34732,-83.29135,4/27/2012,Decapoda
MR-9,42.34732,-83.29135,4/27/2012,Amphipoda
MR-9,42.34732,-83.29135,4/27/2012,Oligochaeta
MR-9,42.34732,-83.29135,4/27/2012,Hirudinea
MR-13,42.34432,-83.26865,4/27/2012,Heptageniidae
MR-13,42.34432,-83.26865,4/27/2012,Hydropsychidae
MR-13,42.34432,-83.26865,4/27/2012,Calopterygidae
MR-13,42.34432,-83.26865,4/27/2012,Coenagrionidae
MR-13,42.34432,-83.26865,4/27/2012,Chironomidae
MR-13,42.34432,-83.26865,4/27/2012,Decapoda
MR-13,42.34432,-83.26865,4/27/2012,Oligochaeta
MR-19,42.351831,-83.462729,4/27/2012,Corixidae
MR-19,42.351831,-83.462729,4/27/2012,Aeshnidae
MR-19,42.351831,-83.462729,4/27/2012,Calopterygidae
MR-19,42.351831,-83.462729,4/27/2012,Coenagrionidae
MR-19,42.351831,-83.462729,4/27/2012,Chironomidae
