Intolerant,Omnivores,Insectivores,Piscivores,Tolerant,Lithophilic,Darter,Sunfish,Sucker
Sea Lamprey,Goldfish,Lake Sturgeon,Spotted Gar,Bowfin,Lake Sturgeon,Western Sand Darter,Rock Bass,Quillback
Silver Lamprey,Common Carp,Mooneye,Longnose Gar,Central Mudminnow,Paddlefish,Eastern Sand Darter,Green Sunfish,Longnose Sucker
Northern Brook Lamprey,Golden Shiner,Lake Whitefish,Bowfin,Goldfish,Mooneye,Greenside Darter,Pumpkinseed,White Sucker
Chestnut Lamprey,Fathead Minnow,Pygmy Whitefish,American Eel,Common Carp,Lake Chub,Rainbow Darter,Warmouth,Creek Chubsucker
American Brook Lamprey,Bluntnose Minnow,Round Whitefish,Channel Catfish,Creek Chub,Bigeye Shiner,Iowa Darter,Orangespotted Sunfish,Lake Chubsucker
Lake Sturgeon,Creek Chub,Arctic Grayling,Flathead Catfish,Golden Shiner,Common Shiner,Fantail Darter,Bluegill,Northern Hog Sucker
Mooneye,Blacknose Dace,Lake Chub,Grass Pickerel,Fathead Minnow,Striped Shiner,Least Darter,Redear Sunfish,Bigmouth Buffalo
Rainbow Trout,European Rudd,Bigeye Chub,Northern Pike,Bluntnose Minnow,Silver Shiner,Johnny Darter,Longear Sunfish,Black Buffalo
Brown Trout,White Sucker,Horneyhead Chub,Muskellunge,Blacknose Dace,Rosyface Shiner,Orangethroat Darter,Smallmouth Bass,Spotted Sucker
Brook Trout,Quillback,River Chub,Burbot,European Rudd,Suckermouth Minnow,Banded Darter,Largemouth Bass,Silver Redhorse
Coho Salmon,Central Mudminnow,Emerald Shiner,White Perch,White Sucker,Southern Redbelly Dace,Logperch,White Crappie,River Redhorse
Chinook Salmon,Black Bullhead,Bigeye Shiner,White Bass,Yellow Bullhead,Blacknose Dace,Channel Darter,Black Crappie,Black Redhorse
Pink Salmon,Brown Bullhead,Ironcolor Shiner,Rock Bass,Green Sunfish,Longnose Dace,Blackside Darter,,Golden Redhorse
Lake Herring,Yellow Bullhead,Common Shiner,Largemouth Bass,Johnny Darter,Pearl Dace,River Darter,,Shorthead Redhorse
Bloater,,Striped Shiner,Smallmouth Bass,Freshwater Drum,Longnose Sucker,,,Greater Redhorse
Deepwater Cisco,,Central Bigmouth Shiner,Walleye,,White Sucker,,,
Kiyi,,Blackchin Shiner,Sauger,,Northern Hog Sucker,,,
Blackfin Cisco,,Blacknose Shiner,,,Spotted Sucker,,,
Shortnose Cisco,,Spottail Shiner,,,Silver Redhorse,,,
Shortjaw Cisco,,Silver Shiner,,,River Redhorse,,,
Pygmy Whitefish,,Rosyface Shiner,,,Black Redhorse,,,
Round Whitefish,,Spotfin Shiner,,,Golden Redhorse,,,
Atlantic Salmon,,Sand Shiner,,,Shorthead Redhorse,,,
Lake Trout,,Redfin Shiner,,,Greater Redhorse,,,
Arctic Grayling,,Mimic Shiner,,,Rainbow Darter,,,
Muskellunge,,Suckermouth Minnow,,,Orangethroat Darter,,,
Bigeye Chub,,Silverjaw Minnow,,,Banded Darter,,,
River Chub,,Finescale Dace,,,Logperch,,,
Pugnose Shiner,,Longnose Dace,,,Channel Darter,,,
Bigeye Shiner,,Redside Dace,,,Blackside Darter,,,
Ironcolor Shiner,,Pearl Dace,,,River Darter,,,
Weed Shiner,,Silver Chub,,,Sauger,,,
Blackchin Shiner,,Pugnose Minnow,,,Walleye,,,
Blacknose Shiner,,Mottled Sculpin,,,Ruffe,,,
Spottail Shiner,,Slimy Sculpin,,,Burbot,,,
Silver Shiner,,Spoonhead Sculpin,,,,,,
Rosyface Shiner,,Deepwater Sculpin,,,,,,
Southern Redbelly Dace,,Longnose Sucker,,,,,,
Longnose Dace,,Creek Chubsucker,,,,,,
Redside Dace,,Lake Chubsucker,,,,,,
Pearl Dace,,Northern Hog Sucker,,,,,,
Silver Chub,,Bigmouth Buffalo,,,,,,
Pugnose Minnow,,Spotted Sucker,,,,,,
Mottled Sculpin,,Silver Redhorse,,,,,,
Slimy Sculpin,,River Redhorse,,,,,,
Spoonhead Sculpin,,Black Redhorse,,,,,,
Deepwater Sculpin,,Golden Redhorse,,,,,,
Longnose Sucker,,Shorthead Redhorse,,,,,,
Creek Chubsucker,,Greater Redhorse,,,,,,
Northern Hog Sucker,,Stonecat,,,,,,
Black Buffalo,,Margined Madtom,,,,,,
Spotted Sucker,,Tadpole Madtom,,,,,,
Silver Redhorse,,Brindled Madtom,,,,,,
River Redhorse,,Northern Madtom,,,,,,
Black Redhorse,,Pirate Perch,,,,,,
Shorthead Redhorse,,Brook Silverside,,,,,,
Greater Redhorse,,Banded Killifish,,,,,,
Stonecat,,Starhead Topminnow,,,,,,
Banded Killifish,,Blackstripe Topminnow,,,,,,
Ninespine Stickleback,,Brook Stickleback,,,,,,
Rock Bass,,Threespine Stickleback,,,,,,
Smallmouth Bass,,Ninespine Stickleback,,,,,,
Eastern Sand Darter,,Green Sunfish,,,,,,
Rainbow Darter,,Pumpkinseed,,,,,,
Iowa Darter,,Orangespotted Sunfish,,,,,,
Least Darter,,Bluegill,,,,,,
Orangethroat Darter,,Longear Sunfish,,,,,,
Banded Darter,,Redear Sunfish,,,,,,
Channel Darter,,Eastern Sand Darter,,,,,,
,,Rainbow Darter,,,,,,
,,Iowa Darter,,,,,,
,,Greenside Darter,,,,,,
,,Fantail Darter,,,,,,
,,Least Darter,,,,,,
,,Johnny Darter,,,,,,
,,Orangethroat Darter,,,,,,
,,Banded Darter,,,,,,
,,Logperch,,,,,,
,,Channel Darter,,,,,,
,,Blackside Darter,,,,,,
,,River Darter,,,,,,
,,Ruffe,,,,,,
,,Trout Perch,,,,,,
,,Freshwater Drum,,,,,,
,,Round Goby,,,,,,
,,Tubenose Goby,,,,,,
,,Western Mosquitofish,,,,,,
